f1 (Return),f2 (Risk),grade_A_pct,grade_B_pct,grade_C_pct,grade_D_pct,method,N,seed,tickers
-0.876823,6.052274,0.01,0.02,0.0,0.01,RANDOM,884,25,"AEI,EWCZ,ACHV,LIND,BMRN,RXST,PCVX,HLMN,RDNW,CDIO,CUPR,GMGI,BLBD,CHDN,AXIN,LESL,ALIS,IAC,LPSN,EOLS,ESLA,OCGN,RXT,SEV,KYIV,JL,DUO,QTRX,ORGN,MBOT"
-0.844881,5.862638,0.02,0.01,0.02,0.01,RANDOM,884,9,"EWCZ,AUID,HBAN,ICCM,PLUG,NCEW,REFR,CDIO,QURE,HEPS,PBHC,LOGI,GMGI,EXE,PESI,RRBI,ARCT,FRAF,IRD,ACB,ALBT,GTX,ONMD,CTRN,MAXN,BDMD,HNVR,HQY,IFRX,AVBP"
-0.828489,5.763873,0.08,0.06,0.0,0.01,RANDOM,884,23,"PRME,IBIO,RBKB,BMR,JJSF,NVTS,EXEL,KC,AIMD,HURA,BDSX,BRBI,AGYS,GMGI,MLEC,NXST,ALM,HIND,OTTR,LITE,VRA,OCS,CFLT,CIFR,PTLE,NOEM,CDTG,CRIS,MTVA,CRBU"
-0.782476,5.734747,0.07,0.03,0.01,0.01,RANDOM,884,19,"UROY,BRKR,OBIO,CYRX,BRBI,BMGL,KIDS,GMGI,LINE,RCEL,ASPC,CNXN,KLTO,IRD,ARQ,LITE,PVLA,VRA,PUBM,MNY,CTRN,BLZE,MVST,LAFAU,MESH,AKTX,ATOM,NBTX,HTZ,GRFS"
-0.766546,5.729069,0.1,0.03,0.01,0.01,RANDOM,884,5,"BMRN,APPF,LQDT,FIBK,AXGN,FGMC,SATS,CYCU,PENN,IBRX,CUPR,GFS,ASPS,PRLD,HLP,FBGL,GMGI,LINE,ELTX,CARL,NTWO,LPSN,CAMP,GRWG,SNPS,ATOM,AMCX,INVE,MBIN,MAR"
-0.757343,5.726219,0.0,0.02,0.01,0.02,RANDOM,884,4,"PAA,PPSI,OSPN,CRAQ,PLMK,BVS,FHTX,DKNG,MCBS,CDIO,PTLO,ASPS,NSIT,KIDS,GMGI,CHAR,RCEL,LAFA,KYTX,JVA,NMRA,BNGO,IRD,CYN,GYRO,OPRX,PVLA,ETHM,EDTK,PAX"
-0.753143,5.721329,0.17,0.05,0.02,0.01,RANDOM,884,6,"AEI,JLHL,ACHV,BMRN,INDI,BMR,NRIX,ANTA,PPTA,HURA,GILD,MRM,GMGI,NTCL,RRBI,CAMP,OTTR,BCPC,POM,LITE,IMG,CLYM,GLTO,REGN,ECPG,ASO,LGIH,NBTX,MBOT,MRVI"
-0.741421,5.704511,0.16,0.02,0.01,0.01,RANDOM,884,20,"LOAN,DNLI,NATR,MNSB,FFBC,KSPI,MIND,ARTV,CGO,PENN,MPWR,FUTU,ICFI,GMGI,EXC,CMRC,PSNY,HIND,ORLY,KLTO,FTDR,ATRA,CISO,AKBA,FEIM,ANGO,EBAY,ISSC,AVNW,CBUS"
-0.716102,5.697059,0.19,0.03,0.02,0.01,RANDOM,884,2,"JLHL,EWCZ,FIBK,CDNS,AQST,MXL,RADX,JCSE,EXEL,MPWR,MDCX,ONB,GMGI,ASMB,NEGG,CCSI,ALIS,DMLP,MMYT,HAO,DWTX,CATY,LFUS,BOKF,MNY,BDMD,MBBC,MMTX,FFIC,AVNW"
-0.714524,5.69294,0.1,0.03,0.01,0.01,RANDOM,884,13,"IBIO,EHGO,INDI,PRTA,SWKH,PERI,ARTV,OXSQ,BLFS,ASPS,FBGL,GMGI,MFIN,ALIS,HUBG,KLTO,PRQR,HAO,CMPX,CELH,LITE,FWONA,GVH,MNY,LPRO,ASO,BLRX,ABVX,INVE,HWKN"
-0.697801,5.680663,0.0,0.05,0.02,0.01,RANDOM,884,12,"COGT,BVS,ELVN,MEOH,KINS,CHSN,ASPS,PRLD,FDBC,GMGI,LXEH,NXST,ACFN,HUDI,GERN,FGBI,OCGN,BOKF,PUBM,REAL,GVH,NN,MNY,NNNN,AVBH,NOEM,AKTX,LCNB,CRBU,ESEA"
-0.681315,5.67463,0.02,0.06,0.03,0.01,RANDOM,884,19,"NATR,CRAI,RBKB,JJSF,SATS,PLUG,PIII,EXEL,ELVN,ARTV,MEOH,PSHG,CHSN,CPIX,GMGI,FMBH,EXC,DAKT,HTBK,ALRS,FRAF,CGON,ATRA,BLIN,VSAT,AMSC,ASO,LGIH,BLRX,LBTYB"
-0.681172,5.666859,0.11,0.03,0.01,0.02,RANDOM,884,22,"CLBT,NTNX,BMRN,PPSI,AXSM,AUID,ETS,QQQX,CRAQ,VTGN,RDNW,NVTS,PRPO,BRID,KEQU,IBRX,DLTR,GMGI,KMDA,CLMT,ACFN,CNXN,LITE,MNY,CHRD,CRIS,HAVA,CRSP,GRFS,FFIC"
-0.655592,5.642117,0.36,0.04,0.01,0.01,RANDOM,884,8,"LIND,LUNG,SILC,GLIBA,FHTX,PAVM,GNTX,MPWR,DOX,CVKD,GMGI,EVOX,ARLP,PANW,HSIC,OTTR,CMPX,FACT,OCGN,GTX,ETHM,PUBM,OCS,SEV,FCNCA,PRAX,ECPG,NBTX,ALTI,AVNW"
-0.608319,5.640214,0.06,0.01,0.02,0.01,RANDOM,884,17,"UFCS,LIND,BL,BKR,BVS,REFR,LAES,BMGL,GMGI,ELTX,MFIN,VISN,PESI,DMLP,HFBL,PACH,IRD,HIHO,IPHA,QSEA,MVBF,NXT,OVBC,EMBC,WHF,KDP,NBTX,MTEX,DLTH,AMAT"
-0.556568,5.638625,0.11,0.03,0.02,0.01,RANDOM,884,12,"REG,NBP,PPBT,GLIBA,IDXX,NCEW,LOGI,ACGL,HLP,GMGI,ORIQ,KURA,CHDN,CLLS,MFIN,LAND,HTBK,BZAI,DWTX,IIIV,EGAN,CMPR,CTRM,OVBC,JL,FANG,IBEX,FLNT,BCML,IRTC"
-0.54722,5.637764,0.17,0.01,0.02,0.01,RANDOM,884,9,"UROY,DNLI,ADMA,OSPN,MTEK,SWKH,CLFD,FGMC,SILC,UCAR,GEN,MCBS,HEPS,GLSI,MPWR,BLFS,GMGI,PANW,PCAR,JVA,DWTX,LPLA,JL,CCEC,MESH,MATW,HDL,ALTI,CRBU,BACC"
-0.514303,5.634737,0.05,0.02,0.02,0.01,RANDOM,884,20,"NXGL,OSPN,NWE,ORRF,PLMK,CLFD,ODFL,RCON,GMGI,CZWI,DAKT,CNXN,BACQ,HTBK,ADP,ORLY,WFCF,HIHO,GTX,VRA,LIEN,DMII,BTTC,KPLT,FIP,CGC,QTRX,HAVA,CFBK,FTRE"
