f1 (Return),f2 (Risk),grade_A_pct,grade_B_pct,grade_C_pct,grade_D_pct,method,N,seed,tickers
-0.495796,1.240921,0.08,0.02,0.01,0.01,RANDOM,2653,8,"BIAF,EURK,OS,ALBT,RXT,REAL,GVH,MNY,HTZ,ESLT,RFIL,NCI,MAYS,CNTA,NRIM,JOYY,NMIH,CCBG,FSLY,HNRG,PPCB,KNDI,PRTC,ANGH,AMIX,BGMS,COLM,GRAN,KELYB,ORBS"
-0.417269,0.733243,0.02,0.04,0.01,0.01,RANDOM,2653,9,"PRME,ALM,AENT,HAO,RXT,DUO,MTEX,AUGO,FISV,NCI,HERZ,MKTX,FNLC,QETA,CRDL,GPRE,MBAV,BIVI,AAOI,RDI,BSET,LIVN,MSGM,LEE,NVCT,NGNE,CTSO,PCSC,NWS,PCSA"
-0.416619,0.723714,0.02,0.04,0.01,0.0,RANDOM,2653,7,"NXGL,PAVM,AMWD,CHCI,ALM,PVLA,FTDR,RXT,EPSM,DWSN,OGI,PLRX,NCI,HHS,FORA,EYPT,ANIP,KRNY,HOVR,MIRA,DVLT,DGII,AURE,LEE,GYRE,COLM,KGEI,ENSG,LITS,CFFN"
-0.400822,0.688615,0.02,0.02,0.01,0.01,RANDOM,2653,18,"NTNX,INDI,ISTR,CDIO,HURA,COCO,ARTW,ALIS,IBG,ASTI,CCLD,PRCH,MTLS,RMCF,VIOT,HCSG,PMN,CDW,MGNX,BRLS,LWLG,CRDL,MGNI,KLRS,CLPS,NRSN,ACNT,OLB,FULC,PTCT"
-0.400763,0.508636,0.05,0.03,0.02,0.0,RANDOM,2653,0,"MBCN,INMB,PRE,CDIO,HURA,GIBO,KLTO,FRAF,RXT,CRIS,AUGO,CRBU,DRMA,GABC,BPRN,LBRDA,IOVA,HCKT,OPRT,FTNT,ABSI,ESGL,QRVO,RDAGU,LINC,BCRX,DPZ,NMRK,BILI,SLRC"
-0.383259,0.499938,0.06,0.05,0.01,0.0,RANDOM,2653,22,"LOAN,CDIO,CHSN,KURA,LINE,CALM,BNTX,CTRN,QNRX,PRAX,NCI,JCAP,IVA,MKTX,KPRX,ALF,LIQT,RGTI,ICHR,AAOI,PLUS,AIP,MLYS,DGNX,BNZI,AIHS,GWAV,BNAI,DCTH,KYNB"
-0.379235,0.478588,0.01,0.01,0.02,0.0,RANDOM,2653,29,"RXST,AQST,NVTS,CFFI,CDIO,PBFS,BDSX,ELOG,CHDN,AXIN,PROF,MBIO,RXT,BDMD,HDL,DLTH,MAMA,PWP,PANL,HRZN,RZLT,LXRX,MDBH,GFAI,LOOP,GAIN,HCAI,AMBR,FSHP,CSCO"
-0.367424,0.430476,0.04,0.05,0.01,0.0,RANDOM,2653,7,"CTXR,PIII,DKNG,NCEW,CLDX,CVKD,BLBD,GIBO,HIND,PACH,PVLA,AKTX,BCML,NCI,PMVP,GTERA,ABOS,BCTX,INTC,EEFT,DVLT,KPTI,DASH,FRPT,HTLD,COKE,NDRA,REPL,ADUS,IVF"
-0.349958,0.428178,0.08,0.04,0.02,0.0,RANDOM,2653,21,"ACRV,AMSF,QQQX,HURA,HAVAU,OCGN,LITE,RXT,NN,BNTC,AFJK,KLIC,HVII,AMBA,FLY,ICU,OMH,ESOA,ICHR,DYN,OFIX,PNTG,IONS,ANGH,CBFV,NEUP,PSIX,BAND,FOSL,AMBR"
-0.349921,0.207025,0.03,0.03,0.01,0.01,RANDOM,2653,17,"UROY,OPK,PRPO,CDIO,CLDX,MDCX,FBGL,CMCO,OS,HIHO,ALEC,MARA,ATOM,GNSS,BMEA,ROAD,CZR,CHRW,MBLY,EZRA,GTLB,KPTI,LOOP,BLBX,RBB,ERIC,PRZO,SEPN,ON,ALGM"
-0.324881,0.189007,0.06,0.08,0.01,0.01,RANDOM,2653,1,"NATR,LFWD,JJSF,CSAI,CDIO,PMEC,COLL,NXST,AUTL,ATOM,HNVR,LIN,OFLX,LBRDA,ATYR,GMHS,AEHR,AAON,PATK,INNV,MCRI,AAL,DSY,BLBX,ATLX,RELL,FOSL,ANIK,GLPI,ERAS"
