f1 (Return),f2 (Risk),grade_A_pct,grade_B_pct,grade_C_pct,grade_D_pct,method,N,seed,tickers
-0.914629,6.210359,0.02,0.03,0.01,0.01,RANDOM,1768,7,"BSAA,PLUG,KSPI,EGBN,CDIO,GMGI,AIRJ,EZGO,KYTX,BCAL,CHEC,EDTK,RDZN,TILE,CDTG,ABVX,INVE,NKSH,NCI,CASH,PSMT,IOVA,BRLS,IHRT,ACCL,NNBR,RENX,CCCC,LMNR,AXTI"
-0.883807,6.170377,0.03,0.02,0.02,0.01,RANDOM,1768,25,"AROW,ENSC,EXEL,CDIO,CTW,GMGI,MLEC,FMBH,PFAI,BSBK,CVV,NTAP,ALAB,NCI,CASI,LWAC,QFIN,MOLN,NWTG,NMIH,FORM,NOMA,NAVN,NVEC,BTAI,MBUU,INNV,PROK,KLXE,DGICA"
-0.84167,6.01468,0.01,0.04,0.02,0.02,RANDOM,1768,4,"AEC,RBNE,SATS,REFR,NCSM,GMGI,ARLP,IBAC,CHAR,ELTX,FENC,LPSN,MMYT,MYRG,RXT,GLTO,BDMD,IBEX,MBWM,HVII,COLA,INHD,GMHS,RJET,LE,KOD,CTNM,DBVT,RGTI,KPTI"
-0.813227,5.855118,0.0,0.06,0.01,0.01,RANDOM,1768,0,"JLHL,NATR,BSAA,NVTS,CDIO,FBIO,BRBI,FDBC,GMGI,NXST,OTEX,BBCP,ALEC,AMTX,JL,NBTX,HQY,ATON,HTCR,HLIT,NAUT,BRLS,INVA,NEXT,FTEK,JOYY,ARRY,BLLN,BIVI,HITI"
-0.75607,5.801466,0.03,0.02,0.02,0.02,RANDOM,1768,22,"LOAN,BZFD,CLFD,MASS,NWPX,CDIO,ARBK,BIXI,CRNC,GMGI,MLEC,GECC,GIBO,PVLA,AMTX,INVE,ESEA,AAPL,BVFL,MLCI,LKFN,OFAL,PMN,EDIT,OMH,KHC,RENX,KOSS,CTLP,ASPI"
-0.748035,5.705623,0.0,0.04,0.01,0.02,RANDOM,1768,17,"NXGL,IQST,OPK,DXR,HELE,NCSM,GMGI,AVT,AXIN,CARL,CALM,JYNT,ESCA,ECX,MMTX,PMVP,OYSE,GP,CDNL,FATBB,IBOC,BMHL,BLDP,RELY,GELS,BOSC,FORM,NVCR,ACHC,AXTI"
-0.709467,5.686048,0.19,0.04,0.02,0.01,RANDOM,1768,10,"UFCS,IBIO,PLMK,MXL,NCEW,MEOH,HURA,UFG,GMGI,RCEL,AXIN,RRBI,BKHA,BBCP,FCNCA,MVST,ALTI,PRTH,MBOT,JMSB,JANX,DXPE,MAMA,ROAD,RELY,NEXT,BOSC,HTO,GSRFU,ONDS"
-0.687227,5.682998,0.08,0.05,0.01,0.01,RANDOM,1768,1,"JLHL,HBAN,GEG,FBLG,COCO,NFE,GMGI,CURI,PRVA,GIBO,PSNY,HFBL,LITE,CLYM,JACK,NBTX,ISSC,PRTH,PCT,CMPS,KVAC,OYSE,OSIS,CHW,INCY,KWM,HTO,BRR,KOD,HITI"
-0.680666,5.668354,0.08,0.03,0.02,0.01,RANDOM,1768,14,"LQDT,IBIO,GLMD,ASPS,GMGI,LOCO,PRVA,AXIN,OTEX,JVA,PSNY,HAO,BAOS,RAIL,NOEM,FISV,IDCC,RAAQ,KLIC,ROAD,FXNC,RCKY,JAZZ,DTSQ,ALT,CSQ,LSAK,ALF,ALGN,HBNC"
-0.666815,5.665357,0.09,0.07,0.01,0.01,RANDOM,1768,5,"BMRN,PAVM,MRM,PRLD,CLIR,GMGI,AIRJ,NXST,JVA,PSNY,ESCA,LRCX,QNRX,AUGO,NKSH,AVGO,RMCO,HLIT,PSMT,LBRDK,LEGH,AIRE,CORZ,JG,MSEX,LLYVK,GLBS,MCRI,HYPD,NXPI"
-0.646111,5.663071,0.01,0.02,0.01,0.01,RANDOM,1768,3,"CTSH,HXHX,KC,CHSN,GMGI,KMDA,FENC,PRQR,EVAX,BATRK,NBTX,MATW,MTEX,NIU,RPAY,HVMC,PMN,RJET,COHU,DYORU,PECO,FOX,AFYA,CTNM,ESPR,MBLY,ESOA,CLRO,ALMS,JRSH"
-0.643934,5.657479,0.04,0.05,0.03,0.01,RANDOM,1768,8,"HURN,GNLX,ELVN,LAES,JAKK,GMGI,HBCP,FDSB,PRQR,ATHE,EDTK,SEV,ONC,JAGX,NKSH,BCAB,ENGN,ACNB,RARE,FTNT,HTO,CCBG,FORM,PYPD,AAON,GIW,CMBM,ELVR,DMAA,CARG"
-0.637823,5.656114,0.0,0.05,0.02,0.01,RANDOM,1768,23,"PPSI,NWE,MIND,RBBN,BMGL,GMGI,ALM,NTWO,HBCP,OTTR,AFRI,KDP,DRTS,GRFS,ISSC,FIEE,LSBK,MLKN,AVTX,BENF,VCTR,DXPE,BMHL,CERS,OPRT,RJET,ALRM,EDRY,NSSC,FUNC"
-0.631996,5.653282,0.05,0.03,0.01,0.01,RANDOM,1768,14,"GAME,BRID,COLL,GMGI,CURI,BTBT,ALM,NSPR,EXC,FACT,OCGN,MNY,IMDX,NOEM,BEEP,CRSP,RAAQ,INKT,LBRDA,LECO,CDNA,CODA,PANL,PYPD,NEXM,PATK,ABNB,CEVA,BIVI,JRSH"
