f1 (Return),f2 (Risk),grade_A_pct,grade_B_pct,grade_C_pct,grade_D_pct,method,N,seed,tickers
-0.575125,5.639987,0.14,0.05,0.01,0.01,RANDOM,1768,0,"ASND,FFBC,HBAN,OBIO,NCEW,BRID,GMGI,LENZ,IPHA,NWL,NKSH,RDCM,CBK,DXPE,ATGL,EQIX,CENN,AGIO,NTLA,FWRG,QETA,CNXC,COHU,BATRA,PATK,FAST,ALDF,LLYVK,KPTI,PAGP"
-0.603417,5.661674,0.14,0.08,0.0,0.01,RANDOM,1768,0,"EWCZ,PAA,NWE,BSAA,JJSF,APA,PMEC,MPWR,GMGI,EVOX,AIRJ,OTGA,PSNY,PTEN,GCTK,CLAR,DRS,HQY,CNTY,ITRI,MKTX,NOVT,ADTN,IRON,JAZZ,LGCB,KVHI,RARE,MCHB,CHAC"
-0.605105,5.663721,0.02,0.02,0.01,0.01,RANDOM,1768,0,"CGCT,RBNE,PODC,MRM,ACGL,GMGI,ALIS,OTGA,CATY,NBTX,HDL,MTEX,MKZR,FATE,FLUX,INOD,OFAL,HVMC,ACNB,LEXX,IBOC,MGNX,BAFN,QUIK,CRMD,ILMN,GPRE,AYTU,NESR,VRME"
-0.632042,5.668375,0.04,0.02,0.02,0.01,RANDOM,1768,0,"BCAR,FFBC,INTU,NFE,COLL,GMGI,CCRN,BCAL,CISO,LIEN,ETHZ,RAIL,NBTX,GRPN,CMCT,AGAE,CVRX,FLYW,CASH,QFIN,ADTN,ELUT,DMAC,PANL,GANX,ATNI,GGR,RCKT,CCAP,ALLO"
-0.633213,5.694844,0.13,0.02,0.01,0.01,RANDOM,1768,0,"JLHL,ACHV,PCVX,PLUG,FINW,ACGL,GMGI,AVT,CATY,LITE,QS,OWLS,ISSC,MAR,NRDS,CEPT,CUE,PRTS,CDNL,RELY,LOBO,CERS,HKIT,QETA,DYORU,NTES,HOVR,CMBM,RENX,ABEO"
-0.656702,5.696763,0.05,0.02,0.01,0.02,RANDOM,1768,0,"BCAR,LQDT,EMAT,EURK,BTOC,NCEW,GLMD,KEQU,NSIT,GMGI,ARLP,IRD,ONMD,CLAR,FATE,ENLT,RMCO,HCSG,QUBT,INCY,LGN,ADGM,BMHL,FWRG,RIVN,LWLG,HSAI,NDSN,KFIIU,RCAT"
-0.673702,5.713153,0.05,0.03,0.02,0.01,RANDOM,1768,0,"PRTA,HELE,HDSN,PBFS,FBGL,GMGI,AMAL,LVO,ADSE,OZK,PTEN,CATY,GBDC,BWB,ECX,BDMD,HSDT,LMFA,CAC,PRTS,EPOW,LTBR,CNXC,MCGA,ALT,CSQ,UTHR,ALDF,PLSE,MCRI"
-0.720036,5.724115,0.03,0.05,0.01,0.01,RANDOM,1768,0,"CRAI,PCVX,SUIG,MNDO,NFBK,GMGI,LOCO,MLEC,AUTL,INBX,BDMD,FIP,IMMR,CRSP,HCAC,CMPS,ATAT,CCG,MXCT,ROAD,PXS,ELUT,SBFG,DYORU,FIVN,ALT,LSAK,GTBP,LICN,NXPI"
-0.734412,5.724652,0.16,0.0,0.02,0.02,RANDOM,1768,0,"NXGL,QQQX,EURK,CDIO,GMGI,PGC,ACB,BKHA,ONMD,AFRI,MLAB,BLIN,RDZN,ALEC,MDLN,AKTX,BCML,MNOV,CUE,LAB,PRTS,QUIK,ACET,AYTU,KLAC,EHLD,ESOA,AXG,JRSH,ARBB"
-0.813227,5.855118,0.0,0.06,0.01,0.01,RANDOM,1768,0,"JLHL,NATR,BSAA,NVTS,CDIO,FBIO,BRBI,FDBC,GMGI,NXST,OTEX,BBCP,ALEC,AMTX,JL,NBTX,HQY,ATON,HTCR,HLIT,NAUT,BRLS,INVA,NEXT,FTEK,JOYY,ARRY,BLLN,BIVI,HITI"
-0.48118,5.636458,0.02,0.07,0.01,0.01,RANDOM,1768,1,"NATR,BZFD,OPK,FIBK,CTSH,AGNC,ELVN,GMGI,NUVL,GSM,CLAR,HQY,CELU,IPM,MFI,PSMT,IBOC,ROAD,ATAI,FTLF,ACET,EEFT,COLB,CTBI,ANDE,BEAG,LBRX,DRIO,MBAV,GTLB"
-0.499347,5.642274,0.0,0.03,0.03,0.02,RANDOM,1768,1,"NATH,GNLX,PAVM,FFIN,AMWD,KALU,AIMD,KEQU,GMGI,AIRJ,EBON,BCAL,OTTR,MMYT,ADSE,FGBI,GYRO,VRA,AVBH,CRIS,NPCE,GNSS,NIU,PSEC,ADGM,KWM,DYORU,ADPT,DXLG,OCSL"
-0.538602,5.643403,0.0,0.05,0.04,0.01,RANDOM,1768,1,"DXR,PTLO,GMGI,IAC,PTEN,ICUI,AFRI,NN,GPRO,CFLT,FRME,RAIL,CCEC,IFRX,MRVI,MRBK,PSEC,PXS,FSTR,ASTH,FISI,CORZ,FORM,CTBI,ITIC,RGP,ABVE,RYET,GPAC,ASPI"
-0.565286,5.64591,0.09,0.02,0.01,0.01,RANDOM,1768,1,"ALCO,NTNX,CGCT,MASS,OXSQ,MEOH,GMGI,GILT,BCAL,ARCT,LFUS,SOFI,LIEN,BTTC,QTRX,DRTS,HOWL,LIXT,CNOB,MXCT,FLYW,PMN,CHW,CSWC,ERIE,HBNB,FIVE,NESR,DFTX,RYET"
-0.612343,5.652247,0.06,0.05,0.01,0.01,RANDOM,1768,1,"CSGS,OPK,UCAR,ODFL,NFBK,BIXI,GMGI,PANW,DMLP,OTTR,CELH,BKHA,ICUI,ATRA,MNY,INBX,FER,CDNL,FLYW,EBMT,BULL,GSRFU,GANX,MSEX,NUAI,ALDF,TW,HITI,LMNR,NDLS"
-0.62706,5.653865,0.08,0.02,0.04,0.01,RANDOM,1768,1,"AXGN,NATH,MSBI,PXLW,AGNC,PPTA,GMGI,HBCP,EXC,ALIS,HUDI,HSIC,SOFI,FFIV,ESEA,FSBC,RMCF,APLD,PMN,GNTA,RAPT,CHA,LGCB,LWLG,CRMT,ELVR,ABNB,EA,LMNR,DSP"
-0.628759,5.661462,0.03,0.01,0.02,0.01,RANDOM,1768,1,"BCAR,EHGO,GMGI,ELTX,BACQ,HSIC,DMLP,GSM,DTIL,IMMR,BEEP,LCNB,DWSN,PASW,BFRG,AGIO,EH,FSTR,DSAC,ABOS,RELY,ENTA,NOMA,GIW,AVO,DBVT,PDC,NXPI,PRTC,ARBB"
-0.640779,5.675605,0.0,0.05,0.01,0.02,RANDOM,1768,1,"CTXR,PBFS,GFS,NSIT,NCSM,GMGI,LENZ,NWBI,PSNY,FTDR,ASTI,CTRN,EPSM,BTTC,QTRX,INCR,BAYA,KLIC,DRDBU,BLUW,IOVA,CECO,MGNX,RELY,MKTW,NAGE,HSAI,CRDL,MIDD,CCCC"
-0.65751,5.680621,0.04,0.02,0.01,0.01,RANDOM,1768,1,"NXXT,LIND,CAPS,GNLX,ANIX,BMM,ASPS,FDBC,GMGI,CMCO,DMLP,CGEN,ENLT,BRFH,CAPR,ABUS,OYSE,DXPE,GOOD,QUBT,GDEN,BYRN,FSLR,AACG,CDW,CGNX,CRDL,GANX,RAY,PRSO"
-0.687227,5.682998,0.08,0.05,0.01,0.01,RANDOM,1768,1,"JLHL,HBAN,GEG,FBLG,COCO,NFE,GMGI,CURI,PRVA,GIBO,PSNY,HFBL,LITE,CLYM,JACK,NBTX,ISSC,PRTH,PCT,CMPS,KVAC,OYSE,OSIS,CHW,INCY,KWM,HTO,BRR,KOD,HITI"
-0.729069,5.97478,0.05,0.05,0.03,0.01,RANDOM,1768,1,"INDI,SATS,DGICB,FBIO,COCO,NCSM,GMGI,AMD,ARTW,CLMT,DERM,GTX,RXT,VSAT,RDWR,MBIN,INOD,GCBC,PSMT,ORKA,PNRG,FSLR,MGNX,LBTYK,HNRG,OPEN,MYPS,ORIO,MMTXU,CCCC"
-0.737767,6.027691,0.22,0.02,0.01,0.02,RANDOM,1768,1,"LGO,MIGI,MBCN,CSAI,NXPL,RGC,ADBE,CETY,GMGI,FMBH,NUVL,INBX,HAVA,CAAS,MKZR,NCI,JANX,HOPE,MAYS,KRKR,FIZZ,UCTT,HKIT,LULU,LOVE,KOD,ENTG,ORIO,ALDF,KLAC"
-0.792558,6.092208,0.1,0.02,0.02,0.01,RANDOM,1768,1,"ARGX,PLMK,PODC,BMRC,GMGI,CNXN,HAVAU,PSNY,ESLA,MLAB,BDMD,BLRX,CHYM,BACC,IRIX,MGN,NCI,MOB,PMVP,MYSZ,LRHC,BOSC,GSRF,LBTYK,MCGA,AZN,AAON,PGEN,PAVS,RENX"
-0.511083,5.63753,0.02,0.06,0.02,0.02,RANDOM,1768,2,"CSX,CRAI,MASS,AUDC,VRCA,ROCK,GMGI,NTCL,ORLY,ADAG,BWB,ICUI,FWONA,TILE,MBBC,ATLO,FEIM,HDL,INCR,BVFL,CEPO,HLXC,BVC,AFBI,LPBB,GIW,MACI,EVO,DAVE,EHLD"
-0.528204,5.641034,0.01,0.03,0.04,0.02,RANDOM,1768,2,"MEGL,BCAR,NWE,HMR,CLFD,FGMC,GMGI,KMDA,LAND,RRBI,DRUG,AENT,BKHA,OVBC,ECX,ECPG,IBEX,ATLO,NTAP,RDWR,DTST,HQI,FXNC,FTLF,OPXS,IPAR,ARKR,EDUC,AVO,RKDA"
-0.553241,5.649711,0.18,0.04,0.01,0.01,RANDOM,1768,2,"AGNC,LYRA,PBFS,PENN,APPN,GMGI,HUBG,LVO,OCGN,BATRK,ECPG,NTAP,FMNB,MBIN,BENF,DRDBU,ADTN,FCHL,LEDS,DSAC,LEGH,MYGN,NEXT,JAZZ,MMSI,BVC,BULL,JBLU,AFYA,KLAC"
-0.573683,5.651699,0.04,0.04,0.01,0.01,RANDOM,1768,2,"JFU,GLIBA,GMGI,CAPT,CMCO,NSPR,CELC,OTGA,JFIN,AMKR,IPHA,DMII,KDP,LNZA,MATW,NTAP,FMNB,HCAC,LGND,AUR,CRDF,CAPR,NMP,GENK,MGNX,DSAC,LULU,NESR,MYPS,GTIM"
-0.59294,5.652944,0.0,0.02,0.02,0.01,RANDOM,1768,2,"COGT,AEC,RBKB,MBCN,FMAO,CGO,LFVN,GMGI,EVOX,LOCO,NMRA,ATHR,CRWS,ETHM,CTRN,INBX,FEBO,LBRDA,LGVN,JF,PXS,GRCE,BAFN,VRAX,ABSI,CCIX,APVO,CEVA,GOGO,HITI"
-0.598742,5.66845,0.05,0.05,0.02,0.01,RANDOM,1768,2,"HURN,LFWD,ADMA,FGMC,RILY,APYX,GPCR,CPIX,GMGI,ASMB,BCAL,ASTI,APGE,MAR,IMMX,KELYA,ORKA,CODA,GENK,IOVA,PFIS,BEAM,CRAC,HTO,CTBI,NTRS,ETOR,MMTXU,CCAP,GLBS"
-0.637257,5.669181,0.07,0.05,0.02,0.02,RANDOM,1768,2,"FLGT,IPGP,GMGI,CHCI,OTGA,LFUS,ATHE,SEV,PAX,HSDT,NCMI,III,CAC,NKSH,PMVP,ONCH,AMBA,ADTN,GIFT,MGNX,AFBI,HSAI,NNBR,MSEX,ONDS,EDRY,RGLD,HRTX,BELFA,QRVO"
-0.672194,5.684218,0.07,0.02,0.01,0.01,RANDOM,1768,2,"PSHG,HKPD,GILD,GMGI,AMD,HIND,FVCB,PFAI,SEV,PRAX,FIP,FLNT,AUGO,DLTH,PRCH,MBOT,DLO,ATRO,LCID,AACG,CGNX,NVCR,AZ,DRIO,RKDA,MBUU,GLBS,GTIM,RGTI,AACB"
-0.72751,5.741894,0.02,0.07,0.01,0.01,RANDOM,1768,2,"FFBC,RBKB,AQST,IPGP,CDIO,RCON,GMGI,GECC,OTTR,IRD,ATHE,MNY,NVVE,NPCE,ABVX,GENK,HQI,COCP,FTNT,PLPC,PYPD,ALT,CTBI,AAON,NNBR,OTLK,PLSE,FUNC,CEVA,HITI"
-0.739166,5.874193,0.08,0.01,0.0,0.01,RANDOM,1768,2,"AEI,PCVX,CDIO,FSEA,PHAT,GMGI,DOGZ,FTDR,LAFAU,MDLN,HBIO,NRDS,KELYA,KLTR,NBIS,JRVR,HOPE,CCEP,BCAB,AGIO,ORKA,HUIZ,PXS,BRLS,HOFT,AMGN,FOXA,LHSW,OCCI,RCKT"
-0.752343,5.989833,0.02,0.01,0.02,0.01,RANDOM,1768,2,"NWE,BKR,PODC,NRXP,PENN,BLFS,GMGI,GMAB,DTI,PACH,GERN,POM,MLAB,BLIN,RXT,BLZE,HVII,ONCH,BEAM,BTCT,CRDO,NOMA,NVCR,DGXX,OPEN,ICCC,GTIM,GTBP,ASRT,NHIC"
-0.81302,6.10003,0.08,0.04,0.02,0.01,RANDOM,1768,2,"BDRX,GO,IDXX,FCEL,CDIO,GMGI,BLMN,CMCO,BCAL,AMKR,CRVL,GPRO,ATOM,OAKU,NCI,RAAQ,RAPT,ASTH,FXNC,UCTT,CRVS,MSTR,LBTYK,GRVY,PLAB,GSIW,LAUR,BATRA,RCMT,CHNR"
-0.542628,5.642903,0.12,0.03,0.01,0.02,RANDOM,1768,3,"COLAU,ACGL,GMGI,MFIN,FACT,DFLI,AKBA,ECPG,CRIS,MTEX,MMTX,PRTH,AVNW,ASTC,JMSB,OLED,INAC,MXCT,RMBS,IBKR,LOBO,JG,GSIW,AMGN,BWMN,UTHR,CEVA,MCRI,FVN,PDC"
-0.543642,5.650764,0.11,0.04,0.02,0.01,RANDOM,1768,3,"UROY,GAME,GLOO,GLSI,NFBK,GMGI,CURI,CLLS,DTI,NEO,EFSC,ICUI,LAFAU,REGN,JMSB,AVGO,ORIC,BMEA,CNSP,VCTR,CELZ,MGNX,CORZ,ACCL,LX,GSBC,CSQ,IBCP,EDRY,HROW"
-0.572973,5.654817,0.04,0.04,0.02,0.01,RANDOM,1768,3,"BCAR,MTEK,NATH,DAIC,SILC,DKNG,MU,ARTV,CLDX,GMGI,CYN,KYIV,AMSC,AKTX,MRVI,PCB,AOUT,CAKE,MKTX,HQI,EBMT,CZR,LBTYK,BVC,FIVN,MCHB,MYPS,ALF,BIVI,DGICA"
-0.575373,5.655094,0.08,0.03,0.01,0.01,RANDOM,1768,3,"CVBF,EHGO,MAZE,AQST,DFDV,FLL,GMGI,ORIQ,NSPR,PDYN,HBCP,GRWG,MNY,BGC,LEGN,AAPL,FISV,CEPT,GABC,CCG,PMVP,HSTM,PANL,ILMN,ADI,SIBN,OABI,DNTH,ANTX,CVLT"
-0.5887,5.66121,0.01,0.07,0.03,0.01,RANDOM,1768,3,"LQDT,NWPX,CHSN,AGYS,GMGI,CAPT,CHDN,DOGZ,IZEA,CGON,CHEC,OVBC,EVLV,ATLO,HWKN,CAC,AVTX,AUUD,KVAC,ABUS,MKTX,MOLN,ARTL,CERS,JBLU,ENTG,HROW,PROK,PLMR,NHIC"
-0.646111,5.663071,0.01,0.02,0.01,0.01,RANDOM,1768,3,"CTSH,HXHX,KC,CHSN,GMGI,KMDA,FENC,PRQR,EVAX,BATRK,NBTX,MATW,MTEX,NIU,RPAY,HVMC,PMN,RJET,COHU,DYORU,PECO,FOX,AFYA,CTNM,ESPR,MBLY,ESOA,CLRO,ALMS,JRSH"
-0.646859,5.676818,0.01,0.04,0.01,0.01,RANDOM,1768,3,"ICCM,MCFT,PHAT,NSIT,GMGI,ARLP,ADAG,OZK,OCS,NXT,GRFS,CCLD,GRPN,GLBE,IPM,VIOT,BGLC,BMEA,JRVR,FATBB,IOVA,EYPT,GNTA,INVA,COHU,GSAT,NEPH,APXT,EHLD,MBUU"
-0.649313,5.692596,0.21,0.03,0.01,0.01,RANDOM,1768,3,"COGT,GLUE,PRTA,CTSH,HXHX,ADBE,SLAB,KUST,GMGI,ESLA,CFLT,ALEC,GAIA,RFIL,NWL,AUR,CCG,POOL,GP,ATYR,CODA,ENGN,EBMT,INVA,RJET,GLDD,GALT,KOD,KLAC,DVLT"
-0.682335,5.703059,0.1,0.06,0.02,0.01,RANDOM,1768,3,"LHAI,EWCZ,UROY,PPSI,CAPS,CD,IDXX,GMGI,GILT,HCMA,NXST,PACH,ONEW,HIHO,NXL,PVLA,BOKF,MNY,BBCP,ASO,LOKV,OWLS,ANGO,AMAT,ESEA,CEPT,PMVP,BTM,PMN,QTTB"
-0.689889,5.70635,0.01,0.02,0.01,0.02,RANDOM,1768,3,"INDI,KFFB,PENN,CVKD,CWBC,FBGL,GMGI,BLBD,MLEC,CCSI,IIIV,BBCP,ECX,BCML,ADUR,APLS,LGN,LGVN,MGNX,ORIQU,JG,FOXA,NEXM,OPEN,DOMH,CNDT,BAER,CTLP,ASRT,AWRE"
-0.709071,5.750329,0.09,0.03,0.04,0.01,RANDOM,1768,3,"EWCZ,BTBD,ALHC,FBLG,HURA,GMGI,MLEC,PCAR,NEGG,GCL,AUPH,QS,REGN,CAC,PCB,METCB,SCWO,NMP,BCAB,OMER,RAPT,LCID,BSY,MGNX,CNTA,ICU,COHU,ITIC,HCAT,LMAT"
-0.716821,6.068309,0.01,0.04,0.01,0.01,RANDOM,1768,3,"CRAI,HLMN,EFOI,ICCM,RGC,EGBN,MEOH,PBFS,GMGI,NISN,ORIQ,LZ,INBK,GTX,ETHM,CIFR,GLTO,AMCX,COCH,FIEE,RAIN,NCI,HTCR,MXCT,BANX,HALO,OMH,BATRA,MACI,CENTA"
-0.749474,6.302725,0.04,0.01,0.01,0.01,RANDOM,1768,3,"AMOD,APYX,FUTU,GMGI,NTRA,NSPR,LGCL,CLMT,PACH,JYNT,SOFI,CGC,ANGO,CAC,NCI,MOB,CODA,RIME,MYSZ,NXTT,LBTYK,LYFT,ABSI,ACHC,HBNB,KOD,APXT,NWGL,ASUR,CARG"
-0.50878,5.642136,0.07,0.05,0.01,0.01,RANDOM,1768,4,"NWE,CRAQ,JJSF,EXOZ,GMGI,EZGO,NTWO,FWONA,AFRI,ATHE,BBCP,MESH,ATLO,FFIV,OWLS,GH,PCB,GURE,NKSH,MRVL,QLYS,DRVN,RIVN,JAZZ,QETA,EEFT,LOVE,CORT,MZTI,ASRT"
-0.569454,5.642208,0.11,0.01,0.03,0.01,RANDOM,1768,4,"BMRN,PFG,BDSX,GMGI,AMZN,CALM,MLAB,HFWA,MVBF,AVBH,FLNT,DLTH,AAPL,CDNA,JF,GRCE,GTEN,BANX,LYFT,RENT,AISP,RAY,PULM,UTHR,AVO,FLXS,OBA,PCYO,MVIS,LMNR"
-0.570471,5.645187,0.05,0.04,0.01,0.01,RANDOM,1768,4,"NXXT,IMOS,EFOI,EURK,UCAR,ELVN,BZ,GMGI,BNTX,IMUX,DWTX,ELTK,LOKV,CRIS,MBIN,AVPT,MLKN,BLFY,PRDO,DJT,NOVT,CPRT,MKTW,EFSI,AMGN,NEXM,EM,HROW,CORT,OCSL"
-0.572817,5.647369,0.26,0.03,0.01,0.01,RANDOM,1768,4,"MEGL,NBP,ADMA,SUIG,HDSN,GILD,GMGI,CURI,ELTX,HIHO,NXL,LFUS,PUBM,AVBH,NTAP,FFIC,BLFY,OLED,CEPT,HLXC,CRVS,INTC,FORM,ADI,BATRA,FAST,KLAC,RDAG,BIVI,FVN"
-0.582362,5.648402,0.44,0.01,0.02,0.01,RANDOM,1768,4,"AEC,EWCZ,BCAR,CGCT,CTXR,OPK,BKNG,DGICB,FDBC,GMGI,DAKT,JFIN,EXLS,MDLN,OWLS,CGEN,CELU,PRTS,GCBC,ACNB,ADTN,CDW,AIFU,LPBB,LOVE,CCIX,BEAG,EVO,CENTA,PAGP"
-0.599699,5.656311,0.03,0.03,0.01,0.02,RANDOM,1768,4,"NWE,ETS,RBKB,CDNS,FSEA,BRBI,AGYS,GMGI,CMCO,ARTW,GTX,KYIV,MBOT,GRPN,KVAC,ORKA,CHW,FCHL,BANX,ENTA,LX,FNWB,ARKR,GANX,CSQ,ONDS,LBRX,HROW,OABI,DNTH"
-0.635426,5.666334,0.02,0.03,0.01,0.02,RANDOM,1768,4,"HEPS,KUST,GMGI,PROV,LRCX,CLYM,ALEC,MDXH,NBTX,LMFA,HQY,HBIO,CHRS,DEVS,CNTY,IPX,BUSE,HOUR,GSIT,PMN,LEXX,LEDS,BANR,LPBBU,ABSI,ACHC,ALDF,CCAP,ASRT,AIRT"
-0.64802,5.686133,0.18,0.04,0.01,0.01,RANDOM,1768,4,"JFU,COGT,OSPN,CLPT,NECB,AIRS,MELI,KIDS,GMGI,PRPL,FMBH,ALM,LSTA,HSIC,AEBI,PROV,ESCA,SEV,NAMM,ECPG,LEXX,PHVS,ACOG,OCC,PULM,ICCC,AGCC,BELFA,DVLT,PRSO"
-0.653198,5.708956,0.01,0.03,0.01,0.02,RANDOM,1768,4,"COGT,NXGL,BMR,AXGN,PODC,FHTX,HURA,PHUN,OMDA,GMGI,ASMB,DOGZ,CARL,LSTA,JVA,ANGO,RFIL,LEGN,DXPE,CODA,BYRN,HLNE,MCHP,NXTT,CGNX,FNWB,QTTB,DTSQ,DCOY,EDUC"
-0.663371,5.71049,0.08,0.03,0.02,0.01,RANDOM,1768,4,"NVTS,ELVN,HURA,ADXN,GMGI,HUDI,CAMP,OZK,CFLT,SEV,LRCX,LIFE,INVE,HWKN,CAC,NTSK,AVTX,NRDS,ACT,PLRX,MBWM,GP,VRAR,EDIT,LULU,AMGN,PPCB,CADL,ALZN,CHAC"
-0.732828,5.718768,0.19,0.05,0.01,0.01,RANDOM,1768,4,"APPF,NBP,LASR,GEN,HURA,VKTX,MPWR,SLAB,GMGI,NUVL,ATRA,PRAX,RAIL,HTZ,LOKV,IPEX,HCAC,IMMX,PRDO,COYA,ALNY,AACG,AMLX,GANX,SCHL,IFBD,LICN,MOVE,JRSH,CLIK"
-0.732907,5.842523,0.09,0.0,0.02,0.01,RANDOM,1768,4,"INTU,DCX,CDIO,GLSI,RBBN,GILD,CLIR,GMGI,HIND,HSIC,DRUG,FGBI,QTRX,RETO,EBAY,IFRX,CGEN,BCG,CBK,BIDU,EMPD,BFRG,MXCT,FATBB,QFIN,LEGH,AYTU,EDSA,LCCC,RENX"
-0.753632,6.010194,0.12,0.04,0.04,0.01,RANDOM,1768,4,"PAHC,REG,AXSM,NATH,BTCS,CYRX,HURA,APYX,GMGI,ORIQ,IRMD,RXT,MVST,LAFAU,HNVR,ESLT,HWKN,SDGR,ELUT,BOSC,RIGL,AZN,ITIC,HTFL,SIBN,KLRS,HUT,RGTI,HBNC,PAGP"
-0.84167,6.01468,0.01,0.04,0.02,0.02,RANDOM,1768,4,"AEC,RBNE,SATS,REFR,NCSM,GMGI,ARLP,IBAC,CHAR,ELTX,FENC,LPSN,MMYT,MYRG,RXT,GLTO,BDMD,IBEX,MBWM,HVII,COLA,INHD,GMHS,RJET,LE,KOD,CTNM,DBVT,RGTI,KPTI"
-0.535609,5.641062,0.02,0.02,0.02,0.01,RANDOM,1768,5,"ORRF,BOLD,HBAN,NB,SATS,EURK,ALHC,PRE,PLTK,NFBK,GMGI,LINE,BCAL,OS,WFCF,CISO,PAX,APGE,OAKU,HBIO,MLKN,BLZR,RAAQ,GRVY,CTNM,WAY,GTIM,OCSL,HITI,CPSH"
-0.537591,5.645428,0.0,0.04,0.02,0.02,RANDOM,1768,5,"APPF,RXST,GNLX,MSBI,GLIBA,TWIN,NECB,VKTX,GPCR,BLFS,ASLE,NCSM,GMGI,PGC,FIP,OWLS,HDL,OAKU,EXTR,BACC,NCMI,CMMB,HOPE,LYFT,HYNE,IQ,EYE,LCCC,OTLK,PDC"
-0.59891,5.648336,0.05,0.02,0.02,0.02,RANDOM,1768,5,"QQQX,IMXI,SILC,FSEA,KEQU,BRBI,GMGI,EVOX,CHAR,PRVA,DAKT,AMAL,LZ,IMVT,IRDM,MDLN,LGIH,HBIO,AVNW,LSBK,MRBK,MOLN,IBKR,OPXS,IPAR,AZN,QCOM,AISP,ALXO,AACB"
-0.666815,5.665357,0.09,0.07,0.01,0.01,RANDOM,1768,5,"BMRN,PAVM,MRM,PRLD,CLIR,GMGI,AIRJ,NXST,JVA,PSNY,ESCA,LRCX,QNRX,AUGO,NKSH,AVGO,RMCO,HLIT,PSMT,LBRDK,LEGH,AIRE,CORZ,JG,MSEX,LLYVK,GLBS,MCRI,HYPD,NXPI"
-0.682925,5.712898,0.0,0.03,0.02,0.01,RANDOM,1768,5,"GNLX,FUFU,HDSN,IPGP,VRCA,PERI,HURA,NSIT,GMGI,PRPL,AXIN,IZEA,HIND,ESLA,DLTH,MLKN,ASTC,MGN,JANX,MBWM,GENK,FORA,ITRN,COHU,ACCL,CEPV,RCMT,ALMS,PCYO,AXG"
-0.74506,5.732723,0.03,0.05,0.0,0.02,RANDOM,1768,5,"NCEW,CDIO,FBIO,VKTX,GILD,ELOG,GMGI,ALIS,CGON,BATRK,SEV,IRDM,NBTX,ORGN,ALTO,MOB,HTCR,BMHL,BAFN,NVCR,CRMT,PLPC,FOXA,GSRFU,ALXO,RDAG,ABNB,EHLD,GTBP,CLIK"
-0.749745,5.999929,0.0,0.02,0.02,0.01,RANDOM,1768,5,"ALCO,AUDC,AMWD,LVLU,BDSX,FLL,GMGI,CLMT,FDSB,EVLV,RDZN,LMFA,AUGO,FATE,AIXI,NCI,OFAL,DRDBU,HVMC,CODA,INDV,MGNX,IRON,PYPD,HBNB,KFIIU,DAIO,PEBK,OBA,PCYO"
-0.80314,6.002381,0.04,0.04,0.01,0.01,RANDOM,1768,5,"CSGS,LIND,MNTK,OBIO,PPTA,IMSR,FBLG,NFE,GMGI,KLTO,PACH,VRA,RXT,KPLT,LPRO,AMAT,FATE,BFST,DWSN,HOWL,CAKE,KLIC,LQDA,EYPT,BMHL,ATRO,MKLY,MYSE,RCMT,EHLD"
