Ticker,Expected Return,Expected Risk (Var),Cost (Latest Price),Market Cap
AISP,-0.003262,0.003920,2.730000,91762995.162083
AIXC,-0.018811,0.007863,1.140000,6218262.941460
AIXI,0.006783,0.006721,0.232000,2834086.995574
AKAM,0.002232,0.002528,98.390000,14793076218.318283
AKAN,-0.003236,0.006510,1.040000,1809413.889006
AKBA,-0.001569,0.002709,1.310000,360297584.119087
AKTS,-0.004426,0.000934,20.130000,1052253211.414528
AKTX,0.000402,0.001334,0.236000,8977820.339264
ALAB,-0.010211,0.007281,118.830000,20800211747.146561
ALAR,-0.006228,0.002059,6.510000,54328575.000000
ALBT,0.067665,0.088175,1.490000,4964785.531120
ALCO,-0.000202,0.000113,41.280000,298302921.150131
ALCY,0.000574,0.000011,11.790000,49612838.599476
ALDF,-0.000208,0.000004,10.550000,315109663.396910
ALDX,0.000783,0.001036,5.460000,316450175.302567
ALEC,0.012036,0.001892,2.430000,241142233.170002
ALF,0.000313,0.000005,10.770000,385609358.549118
ALGM,-0.000707,0.001563,36.470000,6090510698.987999
ALGN,0.008998,0.001349,190.100000,12562348531.379944
ALGS,-0.005382,0.003078,7.030000,42521250.681038
ALGT,0.007503,0.002443,102.150000,1524528580.960739
ALHC,-0.008700,0.000789,19.220000,3722281962.180731
ALIS,-0.000055,0.000000,9.980000,84106446.142197
ALKS,-0.007970,0.000648,30.100000,4739524211.960667
ALKT,-0.009265,0.002369,16.545000,1857592520.000000
ALLO,0.024780,0.005545,2.780000,561825360.000000
ALLR,0.002521,0.004706,0.970000,19940415.353360
ALLT,-0.021007,0.006155,6.340000,341400602.036453
ALM,0.029118,0.004260,18.390000,5052830993.785480
ALMS,0.006890,0.000826,29.690000,3346703855.546322
ALMU,0.000843,0.004733,15.470000,277959305.514736
ALNT,0.002584,0.000730,65.840000,1032706155.076862
ALNY,-0.000670,0.000745,332.920000,42915522681.279541
ALOT,0.000531,0.000342,9.080000,66339715.645210
ALPS,-0.000746,0.001506,0.960000,156416306.983271
ALRM,-0.000417,0.000699,47.850000,2473034675.312424
ALRS,-0.002594,0.000366,23.840000,601245482.807955
ALT,-0.013732,0.000452,4.310000,485898304.171610
ALTI,-0.003222,0.000858,4.430000,616863625.147066
ALTO,-0.005867,0.001646,2.280000,338227953.252536
ALTS,-0.014967,0.009167,1.390000,179401550.658113
ALVO,-0.015523,0.000689,3.990000,1252636633.136680
ALXO,0.014969,0.004832,2.110000,279449867.834318
ALZN,-0.002778,0.003135,2.010000,7983370.137451
AMAL,-0.002187,0.000446,38.490000,1133688444.294559
AMAT,0.007716,0.001386,372.300000,268986130258.504089
AMBA,-0.001244,0.002089,60.340000,2292868812.101189
AMBR,0.012946,0.007718,2.600000,235144143.366570
AMCI,0.013262,0.003640,7.390000,152066934.750973
AMCX,0.001675,0.001972,8.170000,350390498.752072
AMD,-0.009963,0.002963,200.210000,330451657717.754333
AMGN,0.007310,0.000658,388.160000,203212342102.791595
AMIX,0.005804,0.002832,0.439000,4931118.643276
AMKR,0.000807,0.002659,47.820000,10688698004.750946
AMLX,0.002518,0.001403,15.170000,1571518078.472125
AMOD,-0.030443,0.005152,0.501000,23597725.233259
AMPG,-0.009175,0.002065,2.680000,64716021.558965
AMPH,-0.015824,0.003490,20.230000,882741220.469528
AMPL,-0.010174,0.003762,7.300000,1042752182.698614
AMRN,-0.004107,0.001068,13.800000,303157331.133644
AMRX,-0.001353,0.000324,13.810000,4168835588.250000
AMSC,0.006211,0.003536,32.580000,1382660799.990349
AMSF,-0.009058,0.000613,32.530000,635292068.654732
AMST,-0.000223,0.001523,1.770000,8230883.181956
AMTX,-0.004108,0.001594,1.420000,101285998.106003
AMWD,-0.010701,0.001732,50.100000,615565388.750000
AMZN,-0.007844,0.000465,210.000000,2291798315504.981445
ANAB,0.005243,0.001048,55.050000,1669988001.941704
ANDE,0.001968,0.000297,65.290000,2226263311.281815
ANEB,-0.046851,0.009836,0.360000,18353128.913808
ANGH,0.008205,0.003785,3.000000,24928431.000000
ANGI,-0.025078,0.003726,7.780000,381451098.424255
ANGO,0.005441,0.000509,11.440000,444323410.073771
ANIK,0.023578,0.002580,14.360000,215741451.750126
ANIP,-0.004206,0.000398,73.900000,1680095493.250488
ANIX,0.001196,0.000947,2.980000,99470925.536664
ANL,-0.008069,0.002124,7.860000,324353354.312366
ANNA,0.009155,0.008288,2.850000,145155772.455660
ANNX,-0.006498,0.001499,5.600000,833222386.354122
ANPA,-0.080580,0.048242,10.390000,106250000.000000
ANSC,-0.000099,0.000001,11.200000,466990945.610592
ANTA,-0.002031,0.000552,8.780000,181369646.387100
ANTX,-0.000642,0.000760,1.100000,143860626.000000
ANY,-0.021941,0.007208,1.480000,6174397.497945
AOSL,-0.002903,0.001191,21.010000,590752387.602854
AOUT,-0.000228,0.000922,9.100000,112012463.578176
APA,0.009316,0.000870,30.370000,11660260785.993881
APAC,-0.000109,0.000003,10.040000,80504180.000000
APAD,0.000552,0.000003,10.150000,277029342.719437
APEI,0.004620,0.000364,45.820000,829379486.838226
APGE,0.004049,0.000978,70.000000,5119918128.057434
API,0.005574,0.000692,4.670000,398282737.886906
APLD,-0.010096,0.007551,27.270000,7557204987.666349
APLM,-0.003236,0.001854,20.210000,42888393.970573
APLS,-0.004501,0.000500,20.960000,2555319851.652056
APM,-0.003619,0.002387,0.780000,6514191.186244
APOG,0.003235,0.000283,39.820000,743202649.638462
APP,-0.002205,0.007275,434.770000,174800458049.316406
APPF,-0.004564,0.001225,177.760000,6827649482.511597
APPN,0.000529,0.001728,26.670000,1964974363.680840
APPS,-0.011069,0.001821,4.060000,478400733.813455
