Ticker,Expected Return,Expected Risk (Var),Cost (Latest Price),Market Cap,Grade
BTCS,-0.262673,0.00435,1.6,82982482.430351,D
BTCT,-0.081481,0.003936,1.24,13038255.79538,D
BTDR,-0.416224,0.005637,7.7,1792409783.496941,B
BTM,-0.325653,0.004676,4.39,53092672.870041,D
BTMD,-0.066079,0.00088,2.12,89721195.0,D
BTOC,-0.332649,0.003406,0.325,12269632.087551,D
BTOG,-0.089928,0.001586,2.53,3768796.747381,D
BTQ,0.037383,0.015212,3.33,441081692.853913,C
BTSG,0.023216,0.001004,41.43,8029844231.345177,A
BTTC,-0.202186,0.001411,1.46,14291586.785788,D
BULL,-0.145588,0.002907,5.81,2734901638.686035,B
BUSE,-0.003145,0.000279,25.36,2165171322.129059,B
BUUU,0.656058,0.005232,14.83,211105497.455597,C
BVC,-0.215402,0.001084,7.03,1261848026.275635,B
BVFL,-0.052738,0.000228,18.68,169441755.953842,C
BVS,0.069428,0.000332,8.78,563272161.350201,C
BWAY,-0.004731,0.001641,11.57,484011468.12495,C
BWB,-0.068772,0.000262,18.28,491351490.179176,C
BWEN,-0.173333,0.007969,2.48,53594280.952429,D
BWFG,-0.042126,0.00029,46.7,365925357.349129,C
BWIN,0.128218,0.005796,23.23,2034044126.453087,B
BWMN,-0.030075,0.000756,33.54,508511493.782787,C
BYAH,-0.528205,0.016002,1.84,3226866.640068,D
BYFC,-0.076281,0.000213,7.75,72344389.850655,D
BYND,0.290587,0.004635,0.946,359681145.746952,C
BYRN,-0.069869,0.003039,12.78,271828677.980955,C
BYSI,-0.134615,0.001123,1.35,59627367.410865,D
BZ,-0.144681,0.000605,16.08,7328858391.513117,B
BZAI,-0.032787,0.004766,1.18,133026950.373627,D
BZFD,-0.147157,0.000829,0.765,29431428.653358,D
BZUN,-0.049242,0.000538,2.51,138028794.457034,D
CAAS,-0.01559,0.0002,4.42,125510115.716316,D
CABA,0.328,0.003592,3.32,305160704.024452,C
CABR,-0.065934,0.006023,0.85,12526386.601356,D
CAC,-0.060834,0.000434,46.16,777164284.210663,C
CACC,-0.07479,0.000559,473.18,5492385678.464966,B
CADL,-0.105622,0.002521,5.25,361839823.571223,C
CAEP,0.0,1e-06,10.25,359570000.0,C
CAI,-0.136364,0.001569,20.14,5245111341.622204,B
CAKE,0.10546,0.000745,64.4741,3076804459.962639,B
CALC,-0.229851,0.004942,0.516,10475656.309516,D
CALM,0.038136,0.00029,87.11,4281239318.125671,B
CAMP,0.187831,0.00387,4.49,217900757.104459,C
CAMT,0.179301,0.001335,167.39,6750942160.34491,B
CAN,-0.196748,0.006432,0.494,346638395.391195,C
CAPN,-0.00553,1.1e-05,10.79,84407397.909164,D
CAPR,0.209615,0.003,27.93,1517739974.94832,B
CAPS,0.016393,0.004166,0.62,5634481.303334,D
CAPT,-0.250883,0.007454,0.424,14603744.688739,D
CAR,-0.156477,0.004252,97.41,3438071231.840607,B
CARE,-0.046224,0.000194,20.84,454109612.844246,C
CARG,-0.051884,0.001344,30.7,3212954865.734997,B
CARL,0.169342,0.002647,14.57,320783904.0,C
CART,-0.007803,0.001275,37.51,9999880638.819351,A
CASH,-0.003184,0.000437,90.79,2008500111.267883,B
CASI,-0.767741,0.0309,0.2291,3253483.908421,D
CASS,-0.043326,0.000112,44.0641,586175689.217487,C
CASY,0.095437,0.000103,685.59,24634682766.84558,A
CATY,-0.047521,0.000375,49.71,3298415015.57531,B
CBAT,0.291139,0.001484,1.02,89532294.524607,D
CBC,-0.025463,0.000254,24.15,5801010231.235504,B
CBFV,-0.036692,0.000326,34.81,172701898.221062,C
CBIO,0.231161,0.003478,12.09,367492468.398384,C
CBK,-0.034521,0.000252,26.01,350189044.970514,C
CBLL,-0.076657,0.000641,18.67,671143110.198202,C
CBNK,-0.069127,0.000337,29.41,482574422.314697,C
CBRL,0.0437,0.000861,32.72,657339128.724489,C
CBSH,-0.042081,0.000246,50.7178,7420905559.619659,B
CBUS,0.774038,0.013401,3.69,213667972.003566,C
CCAP,-0.114066,0.00029,12.66,480162931.606167,C
CCB,-0.246113,0.001469,74.19,1194511967.944221,B
CCBG,0.007524,0.000163,42.85,733430651.570499,C
CCC,-0.221629,0.006038,5.83,4011267747.382347,B
CCCC,0.43617,0.003693,2.7,294619827.023008,C
CCD,0.02872,7.8e-05,23.01,615503003.841305,C
CCEC,0.0427,0.000431,22.71,1297447737.028519,B
CCEP,0.197722,0.000183,110.43,44821123658.7518,A
CCG,-0.00125,0.00051,0.799,65241627.306951,D
CCHH,0.166667,0.132869,0.49,12012000.247836,D
CCII,-0.00291,2e-06,10.28,356647464.25588,C
CCIX,-0.002812,7e-06,10.64,390455611.014366,C
CCLD,-0.092593,0.002217,2.45,116167887.26433,D
CCNE,-0.003494,0.000353,28.01,810007089.186848,C
CCOI,-0.240794,0.006315,18.7435,1154933969.782242,B
CCRN,-0.057421,0.000379,8.7,321702728.462456,C
CCSI,0.350696,0.001796,30.08,580626411.749744,C
CCTG,-0.16968,0.00217,0.597,1808035.200519,D
CD,-0.0608,0.015868,5.87,398316356.649023,C
CDIO,3.517241,0.060641,6.55,9678075.948292,D
CDLX,-0.082803,0.002724,0.864,42164105.89343,D
CDNA,-0.081293,0.001339,18.76,920129898.208008,C
CDNL,0.315102,0.006266,32.22,1278183324.539162,B
CDNS,0.042221,0.001633,301.4,81918463626.14409,A
CDRO,0.016311,0.0002,8.1,366952150.858941,C
CDT,-0.375676,0.009071,0.693,2454181.921132,D
CDTG,-0.329609,0.005704,0.24,5053249.955922,D
CDW,-0.028159,0.001056,122.64,16068501402.228289,A
CDXS,-0.298611,0.001231,1.01,111098992.812801,D
CDZI,-0.031657,0.001278,5.2,446667634.692703,C
CECO,-0.112595,0.004242,60.45,1873525113.352631,B
CEG,0.217809,0.001166,329.88,115496635401.33452,A
CELC,0.003323,0.000396,111.71,5321194785.0,B
CELH,0.044622,0.001528,53.61,11064144475.221024,A
CELU,-0.02381,0.003097,1.23,34893723.370074,D
CELZ,-0.129808,0.001555,1.81,6569975.823336,D
CENN,-0.189751,0.000942,0.117,9485794.778164,D
CENT,0.136601,0.000244,39.19,2321330049.909943,B
CENTA,0.103162,0.000224,34.54,2064267782.665119,B
CENX,0.089603,0.002609,51.56,5313645849.916752,B
CEPF,-0.005731,4e-06,10.41,591502521.800995,C
CEPO,0.003161,2e-06,10.473,267750000.0,C
CEPT,-0.100486,0.000356,11.1,338214812.831879,C
CEPV,-0.009756,8e-06,10.15,322032703.638077,C
CERS,0.103448,0.001416,2.56,370728866.85461,C
CERT,-0.146988,0.000723,7.08,1124469961.906305,B
CETX,-0.30719,0.00375,1.06,9382700.801333,D
CETY,0.152857,0.026086,0.807,7949218.596926,D
CEVA,-0.010436,0.001857,20.86,530936598.387802,C
CFBK,-0.011772,0.000382,30.22,188673736.424589,C
CFFI,-0.051823,0.000522,72.82,237185097.882042,C
CFFN,-0.037004,0.00036,7.18,917439378.386987,C
CFLT,0.004257,7e-06,30.67,11004721459.48666,A
CG,-0.133095,0.001477,51.99,17624073315.34276,A
CGBD,-0.07947,0.000421,11.12,803390883.992336,C
CGC,0.027523,0.001221,1.12,445152255.571648,C
CGCT,-0.003887,2e-06,10.25,354315015.792847,C
CGEM,0.219512,0.001801,15.5,929860303.138517,C
CGEN,0.0,0.001228,1.81,195796553.778225,C
CGNT,-0.227669,0.001863,7.09,634700980.141997,C
CGNX,0.370239,0.00799,54.4,8194256770.42511,A
CGO,0.035046,6.2e-05,12.67,114291430.344645,D
CGON,0.082076,0.000836,58.8,5224850266.186523,B
CGTL,-0.462312,0.020554,2.14,33442498.773336,D
CGTX,-0.04386,0.002235,1.09,90922483.214453,D
CHA,-0.047909,0.000814,10.93,2009841885.112839,B
CHAC,-0.017062,3.2e-05,10.37,308425595.426608,C
CHAI,0.128049,0.006543,1.85,37454155.145002,D
CHAR,-0.001422,2e-06,10.53,115459870.962121,D
CHCI,0.046637,8.7e-05,11.67,116512370.974067,D
CHCO,-0.042079,0.000117,119.97,1700076818.699799,B
CHDN,-0.037584,0.000582,91.93,5845360653.367142,B
CHEC,0.000497,2e-06,10.065,173437666.061024,C
CHEF,0.126558,0.000366,71.39,2559667317.794472,B
CHI,0.022634,0.0001,11.44,888644997.089779,C
CHKP,-0.156151,0.000668,152.07,17737147299.888245,A
CHMG,-0.101036,0.000496,55.52,264206453.395844,C
CHNR,-0.223558,0.001109,3.23,4221463.5482,D
CHPG,-0.007752,4e-06,10.24,102769172.559015,D
CHR,0.007937,0.002631,1.27,5154872.911729,D
CHRD,0.121727,0.000666,108.37,6901172842.707825,B
CHRS,-0.230415,0.002965,1.67,272037253.320067,C
CHRW,-0.06675,0.002,184.6185,21309046367.71959,A
CHSN,0.011005,0.001319,2.113,80101395.502114,D
CHTR,0.098404,0.000617,234.63,30054032335.18689,A
CHW,0.028765,8.2e-05,8.19,483453420.553049,C
CHY,0.034289,6.4e-05,11.99,924288984.713561,C
CHYM,-0.079068,0.003674,22.13,8445918685.640305,A
CIFR,-0.013283,0.006169,15.6,5517726276.977763,B
CIGI,-0.129482,0.002232,118.73,5933082517.271805,B
CIGL,-0.243243,0.010408,1.96,46954714.577353,D
CIIT,-0.250814,0.003918,0.46,8389876.813163,D
CINF,0.009232,0.000273,163.98,25803901935.233856,A
CING,0.026187,0.003995,6.27,47879617.70176,D
CISO,-0.064677,0.00301,0.376,17750676.505982,D
CISS,-0.210256,0.016364,1.54,3337140.105666,D
CIVB,-0.025849,0.000189,23.81,468475613.017101,C
CJMB,-0.265403,0.002308,1.55,8065925.786326,D
CLAR,-0.168421,0.000695,3.16,114821454.126228,D
CLBK,0.010728,0.000349,17.9,1883899081.41066,B
CLBT,-0.104698,0.002218,13.34,3740377368.428782,B
CLDX,0.220195,0.00433,30.09,1959047583.094437,B
CLFD,0.038652,0.000864,31.44,415540040.359262,C
CLGN,-0.692935,0.019274,0.565,7758621.715364,D
CLIK,-0.106061,0.003828,3.835,11910070.761187,D
CLIR,-0.066667,0.002276,0.56,28952636.290474,D
CLLS,0.015707,0.0018,3.88,358103932.884137,C
CLMB,-0.207433,0.00141,94.68,401923515.311211,C
CLMT,0.186098,0.001761,26.96,2638007178.097372,B
CLNE,0.027273,0.001574,2.26,522245686.111879,C
CLNN,0.294554,0.002566,5.23,63131732.452574,D
CLOV,-0.05,0.000688,2.09,1049334572.0,B
CLPS,-0.037383,0.00083,1.03,30040887.246344,D
CLPT,-0.050604,0.002593,12.57,297483080.0,C
CLRB,0.031746,0.002352,3.25,11702769.799563,D
CLRO,-0.22488,0.004348,4.86,10182500.026848,D
CLSK,-0.098732,0.006749,9.95,2355484338.486199,B
CLST,0.061093,0.000178,16.5,67505159.972305,D
CLWT,-0.047244,0.001043,1.21,10511244.68368,D
CLYM,0.511628,0.004292,7.15,489564238.775366,C
CMBM,-0.227586,0.002834,1.12,33045254.147907,D
CMCO,-0.097493,0.00129,18.98,481959180.975838,C
CMCSA,0.046299,0.000166,30.96,116276673130.44585,A
CMCT,-0.274576,0.001385,2.14,2168698.663874,D
CME,0.098807,0.00021,319.5,114001392795.98972,A
CMMB,0.113772,0.005149,1.86,11571619.93065,D
CMND,-0.493274,0.00408,1.13,2046078.814325,D
CMPR,-0.092997,0.000435,73.05,1768720326.88385,B
CMPS,0.043873,0.008668,6.9,746942140.859337,C
CMPX,-0.133436,0.00054,5.65,980020222.729404,C
CMRC,-0.128527,0.003355,2.78,244602670.685012,C
CMTL,-0.097122,0.002613,5.02,148512559.024796,D
CNCK,-0.036,0.002181,2.41,320787993.660677,C
CNDT,-0.013514,0.004242,1.46,215045749.646868,C
CNET,-0.261261,0.02465,0.82,2320585.229867,D
CNEY,-0.00495,0.000777,1.005,5033261.512735,D
CNOB,-0.022163,0.000414,26.53,1289009509.435562,B
CNSP,-0.425139,0.001847,3.11,1823652.635493,D
CNTA,0.066296,0.000525,26.86,3835927296.277657,B
CNTB,0.004065,0.004288,2.47,138640713.306275,D
CNTX,-0.050633,0.002037,2.25,286663021.725263,C
CNTY,0.12,0.000381,1.68,44182950.075673,D
CNVS,0.423077,0.005183,2.96,63420299.469062,D
CNXC,-0.173179,0.003248,32.8,2188971580.900269,B
CNXN,0.018008,0.000807,60.95,1532132670.580959,B
COCH,0.113846,0.037215,0.724,50049604.369669,D
COCO,0.041809,0.001659,58.06,2952290057.240387,B
COCP,0.071429,0.002135,1.05,13921906.528545,D
CODA,0.254394,0.003086,13.56,162296275.700617,D
COEP,-0.149169,0.003447,12.035,76003705.762075,D
COFS,-0.034739,0.000264,28.62,424871179.555979,C
COGT,0.023446,0.000586,38.85,6018411342.796326,B
COHU,0.028961,0.001219,30.2,1296931062.345409,B
COIN,-0.063931,0.006066,175.85,53181875159.471886,A
COKE,0.315225,0.000501,202.4,13615230718.372055,A
COLA,-0.007569,1.2e-05,10.49,83415055.5,D
COLAU,-0.09465,0.001108,11.0,84686130.187798,D
COLB,-0.03003,0.00056,28.45,8166002416.588806,A
COLL,-0.115474,0.00045,41.67,1184077267.260933,B
COLM,0.119465,0.001852,61.94,3142800223.314415,B
COO,0.037446,0.000178,83.67,15002118488.377472,A
COOT,0.004918,0.004705,0.613,16460137.278332,D
CORT,-0.123066,0.001929,35.7,3602887943.780289,B
CORZ,-0.050364,0.003374,16.97,4685843145.039124,B
COSM,-0.145652,0.002485,0.393,13818029.79808,D
COST,0.043816,0.000179,1010.79,443114152563.4894,A
COYA,0.046414,0.001466,4.96,100228143.441795,D
CPB,-0.021068,0.000556,26.95,7691863293.541622,B
CPBI,0.008513,5.6e-05,17.77,74727383.275013,D
CPHC,0.003205,0.00037,15.65,78273827.145218,D
CPIX,0.274611,0.002151,4.92,52359779.5,D
CPOP,-0.206311,0.001438,0.327,27859274.573037,D
CPRT,-0.040071,0.000677,38.09,36532989018.94553,A
CPRX,-0.0768,0.000606,23.08,2979396256.987587,B
CPSH,-0.189873,0.003024,4.48,68501048.151217,D
CPSS,-0.077449,0.000612,8.1,177793496.0,C
CPZ,0.020728,1.1e-05,14.96,285648426.444544,C
CRAC,0.0,3e-06,9.98,215193740.129471,C
CRAI,-0.090593,0.001267,172.66,1165300505.02536,B
CRAN,-0.002006,2e-06,9.95,465717014.312744,C
CRAQ,0.001967,2e-06,10.19,397326425.63839,C
CRBP,0.035024,0.001336,8.57,140599830.387571,D
CRBU,0.30137,0.003372,1.9,170111834.062594,C
CRCT,-0.052863,0.000398,4.3,860488964.57475,C
CRDF,0.134503,0.002527,1.94,128526160.19401,D
CRDL,0.061394,0.001164,1.02,108441366.234356,D
CRDO,-0.064105,0.004502,112.27,20258137247.937927,A
CRE,-0.363584,0.004011,2.23,9123234.692545,D
CREG,0.008696,0.0014,1.16,23930492.103872,D
CRESY,-0.147566,0.000561,11.38,716406280.55407,C
CREV,-0.993062,0.088537,0.0111,385.56299,D
CREX,0.083591,0.001528,3.5,38183724.363796,D
CRGO,-0.371429,0.006221,1.32,66671599.9545,D
CRIS,0.310345,0.002791,1.14,13597589.740987,D
CRMD,-0.127295,0.000629,7.13,508977233.705564,C
CRML,-0.193805,0.008565,10.15,1074258324.883922,B
CRMT,-0.214482,0.001658,19.96,151960861.708626,D
CRNC,-0.274312,0.006011,7.91,329982537.625393,C
CRNT,-0.050209,0.00083,2.27,201353531.417258,C
CRNX,-0.167173,0.001047,41.1,4002884717.969704,B
CRON,0.063745,0.000371,2.67,988470573.023918,C
CROX,0.044084,0.002544,90.71,4464746588.0,B
CRSP,0.172091,0.002245,60.14,5423170128.0,B
CRSR,0.068093,0.017008,5.49,634640884.805774,C
CRTO,-0.059968,0.000879,17.87,1009737842.872267,C
CRUS,0.081131,0.000861,141.12,6652831564.758179,B
CRVL,-0.260502,0.004335,51.58,2816532325.082016,B
CRVO,-0.180698,0.004776,3.99,38028676.325371,D
CRVS,-0.129647,0.001711,18.26,1323110038.140965,B
CRWD,-0.152376,0.00215,371.98,108147707313.70116,A
CRWS,-0.016835,0.000278,2.92,30595669.697757,D
CRWV,-0.105464,0.007043,79.56,38369975704.67899,A
CSAI,-0.008982,0.011595,0.662,15937403.944173,D
CSBR,-0.164095,0.000958,5.96,81512732.030836,D
CSCO,-0.014633,0.001201,79.46,310714074022.76324,A
CSGP,-0.270513,0.002535,44.63,20504547081.27158,A
CSGS,0.001128,6e-06,79.9,2278788712.618843,B
CSIQ,-0.074229,0.00242,17.71,1071555936.0,B
CSPI,-0.223309,0.001886,9.01,86342465.548152,D
CSQ,-0.011672,0.000106,19.01,2941179148.710464,B
CSTE,-0.409483,0.002474,1.37,27657019.612122,D
CSTL,-0.250823,0.001892,29.57,806310114.711414,C
CSWC,-0.04732,0.000156,21.87,1334393621.959991,B
CSX,0.11567,8.9e-05,42.69,74289295538.77925,A
CTAS,0.055956,0.000115,201.13,81824074552.85995,A
CTBI,-0.044406,0.000321,60.04,1083964066.276703,B
CTKB,-0.131783,0.00078,4.48,542481546.949108,C
CTLP,-0.032437,0.000137,10.44,757106426.126427,C
CTMX,-0.118227,0.001613,5.37,792957619.514487,C
CTNM,0.066759,0.000908,15.34,507028756.300464,C
CTNT,0.588785,0.002745,1.7,5298809.686989,D
CTOR,0.037037,0.000785,1.12,90040707.416284,D
CTRM,-0.039648,0.000642,2.18,21160555.812884,D
CTRN,0.072917,0.000567,47.38,388972573.693542,C
CTSH,-0.218938,0.00154,64.43,31980156398.284103,A
CTSO,0.11226,0.001253,0.753,50117834.012418,D
CTW,-0.019481,0.008667,1.51,105382943.866163,D
CTXR,-0.026316,0.003836,0.74,18684316.899854,D
CUB,0.002247,0.0,10.704,328746689.148884,C
CUE,-0.176471,0.001073,0.28,27371322.187639,D
CUPR,-0.148837,0.000975,0.366,8215349.708498,D
CURI,-0.09139,0.001158,3.2998,193551039.348155,C
CURR,0.441379,0.004783,2.09,174674090.128129,C
CURX,0.355422,0.014106,0.45,11052916.274581,D
CV,0.003656,0.003376,5.49,239837306.639218,C
CVBF,-0.044235,0.000351,19.23,2567839955.189678,B
CVCO,0.239287,0.000437,577.26,4187324760.398926,B
CVGI,0.125,0.002484,1.71,56199013.409107,D
CVGW,0.057942,0.000131,26.84,462581149.519476,C
CVKD,0.270958,0.006903,8.49,19359690.935653,D
CVLT,-0.025987,0.001057,85.08,3837973308.849594,B
CVRX,0.146067,0.005172,8.16,217070757.75,C
CVV,-0.231602,0.002536,3.55,25668154.630798,D
CWBC,-0.060366,0.000208,23.23,437693269.444111,C
CWCO,-0.013038,0.000214,37.85,562216862.025574,C
CWD,0.042735,0.003226,1.22,9183837.826337,D
CWST,-0.090146,0.000567,93.16,5972293463.477325,B
CXAI,-0.341727,0.003443,0.183,7265969.823821,D
CXDO,-0.201094,0.001375,5.84,216961197.121555,C
CYCN,-0.021739,0.002586,1.35,5366758.792954,D
CYCU,-0.15122,0.003018,1.74,6784862.959971,D
CYN,-0.083832,0.004758,1.53,11802084.032099,D
CYPH,-0.182176,0.007396,0.624,29119045.678959,D
CYRX,-0.12474,0.000647,8.42,405057440.999908,C
CYTK,-0.04512,0.001093,62.22,7386024342.233852,B
CZFS,-0.081089,0.000393,60.06,295635420.0,C
CZNC,-0.010573,0.000251,22.46,397462787.601791,C
CZR,0.21661,0.00429,25.05,5388449617.338999,B
CZWI,-0.055252,0.000264,17.41,170977511.569801,C
DAAQ,0.000978,2e-06,10.24,234376245.912323,C
DAIC,-0.347826,0.002583,0.24,6943330.5,D
DAIO,-0.109325,0.000379,2.77,25733866.369568,D
DAKT,0.094228,0.000602,25.78,1070014620.341633,B
DARE,-0.034091,0.000387,1.7,20623637.674348,D
DASH,-0.150238,0.001698,176.47,77836168692.38158,A
DAVE,0.106107,0.003654,193.27,2934842165.786713,B
DAWN,-0.078261,0.00169,10.6,2189911128.009884,B
DBGI,-0.652963,0.032155,2.87,26038909.02663,D
DBVT,-0.027791,0.001664,20.99,1201941282.012964,B
DBX,-0.026111,0.000309,24.99,6708961044.8535,B
DCBO,-0.115071,0.001855,17.38,559181292.721884,C
DCGO,-0.075933,0.002548,0.718,65730585.09782,D
DCOM,-0.085124,0.000291,32.35,1403232140.282959,B
DCOY,-0.054035,0.00535,8.172,4033517.443062,D
DCTH,-0.108216,0.00203,8.9,320648565.825777,C
DCX,-0.414754,0.004697,1.785,3780830.531129,D
DDI,0.037457,0.000454,9.14,443998824.290314,C
DDOG,-0.132429,0.003334,111.96,44336442185.75,A
DEFT,-0.140506,0.003793,0.679,276620553.850453,C
DERM,-0.048894,0.000656,8.17,258403688.125681,C
DEVS,-0.131791,0.005077,0.863,3556569.641661,D
DFDV,-0.264271,0.011619,3.48,108510867.420959,D
DFLI,-0.015444,0.004509,2.55,31283865.633276,D
DFSC,-0.015385,0.002992,1.92,4645148.427898,D
DFTX,-0.042787,0.001167,17.45,1760668942.927273,B
DGICA,-0.069694,0.000311,17.62,641960165.493176,C
DGICB,-0.006548,0.002881,16.69,669782320.957008,C
DGII,0.084889,0.000637,48.82,1836929060.139008,B
DGNX,-0.39619,0.011074,0.634,125835420.80025,D
DGXX,0.095238,0.003424,2.76,177658958.8287,C
DH,-0.452991,0.001858,1.28,123277392.300206,D
DHC,0.157534,0.000761,6.76,1678078412.022719,B
DHIL,0.006206,2e-06,171.87,466785384.336472,C
DIBS,-0.125455,0.001743,4.81,205040345.308184,C
DIOD,0.124794,0.004771,68.23,2870788169.16864,B
DJCO,-0.142917,0.001539,509.51,704511901.738525,C
DJT,-0.130682,0.002333,10.71,2850376030.108498,B
DKI,-0.541053,0.00807,0.436,8714124.966413,D
DKNG,-0.130562,0.001961,23.84,12518978411.464855,A
DLHC,0.060071,0.000516,6.0,84784253.367836,D
DLO,-0.114327,0.001121,12.24,3421786847.193323,B
DLPN,0.018634,0.00207,1.64,19759547.802196,D
DLTH,-0.104167,0.001492,2.15,82266670.430248,D
DLTR,0.078997,0.000431,126.48,23617436611.918137,A
DLXY,0.065934,0.00665,0.97,17330999.064445,D
DMAA,0.001916,2e-06,10.46,350924496.160043,C
DMAC,-0.028117,0.001125,7.95,401517056.676597,C
DMII,0.001003,3e-06,9.98,651815472.483635,C
DMLP,0.082015,0.000165,25.99,1297106482.382414,B
DMRC,-0.263773,0.002147,4.41,116182313.899853,D
DNLI,-0.068602,0.001219,21.18,3074758290.247564,B
DNMX,-0.001007,3e-06,9.92,266455014.808884,C
DNTH,0.037796,0.001928,55.19,2818145336.093597,B
DNUT,0.201923,0.004774,3.75,602158048.363924,C
DOCU,-0.133269,0.001664,45.07,9751279435.567244,A
DOGZ,0.051471,0.003934,1.43,22201306.324847,D
DOMH,-0.227041,0.002501,3.03,48342856.609418,D
DOMO,-0.3821,0.006893,3.59,176389627.470327,C
DOO,-0.056963,0.00064,73.34,4827049306.675827,B
DORM,-0.068963,0.000675,117.86,3341413924.481873,B
DOX,-0.138378,0.000963,69.8,7525162334.569244,B
DOYU,-0.171115,0.00215,5.28,156912453.206801,D
DPRO,-0.160794,0.006129,6.55,239663051.510918,C
DPZ,-0.016397,0.000342,402.51,13734377946.9227,A
DRCT,-0.485849,0.008305,1.09,2590676.654915,D
DRDB,-0.007612,2e-06,10.43,320159990.611754,C
DRDBU,0.030093,5e-05,11.125,280800343.879223,C
DRH,0.087757,0.000383,10.04,1960491380.302925,B
DRIO,0.09415,0.001472,11.97,65556604.810935,D
DRMA,-0.405941,0.024174,1.2,3997325.0,D
DRS,0.072682,0.002396,43.39,12394846678.060043,A
DRTS,0.114943,0.002888,7.76,546543162.849724,C
DRUG,0.06587,0.001463,83.82,752339092.951241,C
DRVN,-0.300699,0.005506,11.0,1723480129.358833,B
DSAC,0.002004,1e-06,10.0,341384493.455887,C
DSGN,0.002882,0.000488,10.44,572485768.714974,C
DSGR,0.016661,0.000193,29.9,1022216833.521019,C
DSGX,-0.089472,0.00116,66.25,6168694498.332329,B
DSP,-0.178427,0.001614,10.13,655935238.22579,C
DSWL,0.068249,0.00052,3.6,52904992.416208,D
DSY,-0.371486,0.00373,3.13,18009598.48873,D
DTCK,-0.594926,0.011969,1.98,34692885.210291,D
DTCX,-0.092683,0.003173,1.86,77051105.832001,D
DTI,-0.098446,0.002505,3.48,127067588.497501,D
DTIL,0.055276,0.001571,4.2,110970775.323925,D
DTSQ,0.008197,3.1e-05,11.07,98443957.734966,D
DTSS,-0.162385,0.005874,0.913,9193494.590184,D
DTST,-0.150743,0.000575,4.0,29918448.49151,D
DUO,-0.181818,0.003654,1.17,42017771.456692,D
DUOL,-0.234443,0.002669,101.0,4785173572.75145,B
DUOT,-0.223251,0.003933,7.55,156979022.001843,D
DVLT,0.109375,0.008334,0.71,400981351.854472,C
DWSN,0.561644,0.004016,3.42,113324476.610949,D
DWTX,-0.027304,0.000993,2.85,92718324.325584,D
DXCM,0.012409,0.000638,73.43,26560107528.0824,A
DXLG,-0.295775,0.00321,0.5,26781643.871244,D
DXPE,0.029976,0.001199,138.47,2122035186.520721,B
DXR,-0.028665,0.000237,11.86,66313832.546873,D
DXST,-0.938547,0.086968,0.11,12705717.414094,D
DYAI,-0.093023,0.000587,0.78,27864604.539773,D
DYN,-0.167377,0.001004,15.62,2446732170.431141,B
DYOR,-0.003009,0.0,9.94,228849995.613098,C
DYORU,0.0,3e-06,10.16,202000007.629395,C
EA,-0.01395,6.2e-05,200.57,49550235174.0,A
EBAY,-0.031136,0.001144,90.5573,41904919586.18164,A
EBC,-0.077357,0.000475,19.4291,4271796707.483076,B
EBMT,-0.026749,0.00021,21.7,170296253.564352,C
EBON,-0.166212,0.003214,2.443,15073481.398966,D
ECBK,-0.041806,0.000184,17.19,149635100.913448,D
ECOR,0.157252,0.003505,7.58,54771934.787451,D
ECPG,0.222521,0.000715,68.29,1576423826.486542,B
ECX,-0.111111,0.004161,1.68,633224404.194509,C
EDAP,-0.024554,0.003115,4.37,154429319.459185,D
EDBL,-0.337808,0.004314,2.96,1312424.930665,D
EDHL,-0.261364,0.024272,2.6,5415315.75,D
EDIT,0.094527,0.003435,2.2,195237320.0,C
EDRY,0.539216,0.002822,21.98,58389051.605312,D
EDSA,0.788618,0.039942,2.2,54430009.560771,D
EDTK,-0.148039,0.000845,0.869,13874552.562872,D
EDUC,-0.021583,0.000557,1.36,11415657.698351,D
EEFT,-0.03777,0.001114,69.55,3083136534.71611,B
EEIQ,-0.350543,0.009794,2.39,3402803.929453,D
EFOI,-0.182243,0.00122,1.75,11306647.714206,D
EFSC,-0.027423,0.000375,57.1,2019685347.405167,B
EFSI,-0.091837,0.000281,34.71,185591466.381096,C
EGAN,-0.096712,0.000819,9.34,262358931.710606,C
EGBN,-0.06674,0.000448,25.45,767784866.934273,C
EGHA,-0.014493,1e-06,10.2,208690006.256104,C
EGHT,0.244186,0.015439,2.14,351082239.342713,C
EH,-0.012077,0.000764,12.27,828545732.056026,C
EHGO,-0.078947,0.003008,0.21,6019209.382738,D
EHLD,0.091867,0.000391,7.048,20476790.996277,D
EHTH,-0.530686,0.008144,1.3,50959722.835497,D
EJH,-0.090909,0.004383,0.69,72403491.011071,D
EKSO,0.082177,0.005314,10.14,40551276.187797,D
ELAB,-0.644776,0.016118,1.19,2404086.130983,D
ELBM,-0.194079,0.001468,0.735,71619825.712928,D
ELDN,0.149123,0.002494,2.62,221372226.161759,C
ELE,0.163466,0.002885,23.63,1453725000.0,B
ELOG,0.057851,0.002508,1.28,14780910.229206,D
ELPW,-0.919403,0.058419,0.108,438833.627438,D
ELSE,0.0,0.000383,4.3,14896630.610242,D
ELTK,-0.00222,0.000868,8.99,61822407.118295,D
ELTX,0.603704,0.003726,12.99,200718124.735096,C
ELUT,0.127451,0.002684,1.15,46544293.075306,D
ELVA,-0.326803,0.004933,7.56,384702105.956146,C
ELVN,0.053958,0.00109,29.69,1747185044.174887,B
ELVR,0.291957,0.003,59.43,950832083.860901,C
