Ticker,Expected Return,Expected Risk (Var),Cost (Latest Price),Market Cap,Grade
AIRO,-0.024876,0.003786,9.8,315542644.331707,C
AIRS,-0.387597,0.005394,1.58,130492634.941018,D
AIRT,-0.106754,0.000718,20.5,56485154.069025,D
AISP,-0.086957,0.00392,2.73,91075632.577603,D
AIXC,-0.337209,0.007863,1.14,5676422.523033,D
AIXI,0.069124,0.006721,0.232,2976926.077246,D
AKAM,0.018214,0.002528,98.39,14472873619.027311,A
AKAN,-0.111111,0.00651,1.04,1849342.869979,D
AKBA,-0.050725,0.002709,1.31,340206628.420609,C
AKTS,-0.084167,0.000934,20.13,1037743532.336159,C
AKTX,-0.004219,0.001334,0.236,8970672.271865,D
ALAB,-0.22048,0.007281,118.83,20289568238.14656,A
ALAR,-0.121457,0.002059,6.51,53749070.752659,D
ALBT,1.035519,0.088175,1.49,5278502.316297,D
ALCO,-0.004582,0.000113,41.28,307797175.041557,C
ALCY,0.010283,1.1e-05,11.79,49444517.0,D
ALDF,-0.003777,4e-06,10.55,315109663.39691,C
ALDX,0.005525,0.001036,5.46,288781321.875138,C
ALEC,0.221106,0.001892,2.43,220725162.0,C
ALF,0.005602,5e-06,10.77,387046891.450882,C
ALGM,-0.025648,0.001563,36.47,5916337535.646286,B
ALGN,0.161767,0.001349,190.1,12484499304.0,A
ALGS,-0.115723,0.003078,7.03,42952002.47737,D
ALGT,0.121788,0.002443,102.15,1466957373.0,B
ALHC,-0.151435,0.000789,19.22,3767227440.026098,B
ALIS,-0.001001,0.0,9.98,84106446.142197,D
ALKS,-0.139016,0.000648,30.1,4771187470.56181,B
ALKT,-0.171922,0.002369,16.545,1810887279.950775,B
ALLO,0.486631,0.005545,2.78,516879320.484032,C
ALLR,0.006224,0.004706,0.97,19940415.35336,D
ALLT,-0.359596,0.006155,6.34,329294198.036453,C
ALM,0.620264,0.00426,18.39,4801471526.443068,B
ALMS,0.12377,0.000826,29.69,3354185243.134195,B
ALMU,-0.023667,0.004733,15.47,271100584.382317,C
ALNT,0.041113,0.00073,65.84,1105563179.25,B
ALNY,-0.018254,0.000745,332.92,42526937840.72046,A
ALOT,0.006652,0.000342,9.08,66912595.988297,D
ALPS,-0.025381,0.001506,0.96,146598685.151203,D
ALRM,-0.013402,0.000699,47.85,2489993584.187576,B
ALRS,-0.048683,0.000366,23.84,606579703.362497,C
ALT,-0.223423,0.000452,4.31,443319568.942797,C
ALTI,-0.063425,0.000858,4.43,610960629.336607,C
ALTO,-0.11284,0.001646,2.28,339775905.836292,C
ALTS,-0.294416,0.009167,1.39,174347990.517568,C
ALVO,-0.25,0.000689,3.99,1249520698.859844,B
ALXO,0.255952,0.004832,2.11,289945626.944773,C
ALZN,-0.073733,0.003135,2.01,7527177.97251,D
AMAL,-0.042299,0.000446,38.49,1131592910.9604,B
AMAT,0.135092,0.001386,372.3,257716860459.48364,A
AMBA,-0.040394,0.002089,60.34,2254984502.66288,B
AMBR,0.181818,0.007718,2.6,250133419.56744,C
AMCI,0.229617,0.00364,7.39,142350923.509727,D
AMCX,0.013648,0.001972,8.17,361272191.002072,C
AMD,-0.18703,0.002963,200.21,313739946577.00433,A
AMGN,0.133949,0.000658,388.16,199201677284.7084,A
AMIX,0.083951,0.002832,0.439,4894608.464472,D
AMKR,-0.007884,0.002659,47.82,10290530262.375471,A
AMLX,0.034083,0.001403,15.17,1521001072.542841,B
AMOD,-0.452459,0.005152,0.501,23626191.005711,D
AMPG,-0.167702,0.002065,2.68,63960582.319408,D
AMPH,-0.27543,0.00349,20.23,888715052.171745,C
AMPL,-0.19426,0.003762,7.3,1049436453.150693,B
AMRN,-0.08,0.001068,13.8,292345145.764957,C
AMRX,-0.026779,0.000324,13.81,4165689225.227114,B
AMSC,0.085276,0.003536,32.58,1318860330.825291,B
AMSF,-0.155723,0.000613,32.53,650431573.416561,C
AMST,-0.016667,0.001523,1.77,8002247.75,D
AMTX,-0.083871,0.001594,1.42,92679998.421669,D
AMWD,-0.188795,0.001732,50.1,640770781.430569,C
AMZN,-0.13566,0.000465,210.0,2288792550765.5327,A
ANAB,0.089236,0.001048,55.05,1549983814.911659,B
ANDE,0.033397,0.000297,65.29,2170022429.893951,B
ANEB,-0.623824,0.009836,0.36,18557053.594811,D
ANGH,0.123596,0.003785,3.0,27439403.418463,D
ANGI,-0.389804,0.003726,7.78,380588067.151489,C
ANGO,0.097889,0.000509,11.44,446384287.235363,C
ANIK,0.491173,0.00258,14.36,203627624.749622,C
ANIP,-0.07625,0.000398,73.9,1662802779.281067,B
ANIX,0.013605,0.000947,2.98,95131586.066682,D
ANL,-0.152104,0.002124,7.86,328781382.249466,C
ANNA,0.104651,0.008288,2.85,166298919.494205,D
ANNX,-0.122257,0.001499,5.6,769128312.895878,C
ANPA,-0.865065,0.048242,10.39,113374996.185303,D
ANSC,-0.001783,1e-06,11.2,466990945.610592,C
ANTA,-0.040437,0.000552,8.78,185631603.6129,C
ANTX,-0.017857,0.00076,1.1,78095765.786739,D
ANY,-0.370213,0.007208,1.48,6004770.955293,D
AOSL,-0.060376,0.001191,21.01,591050002.664566,C
AOUT,-0.011944,0.000922,9.1,112012463.578176,D
APA,0.17304,0.00087,30.37,11692461621.987762,A
APAC,-0.001988,3e-06,10.04,80826196.412901,D
APAD,0.00995,3e-06,10.15,277029342.719437,C
APEI,0.083215,0.000364,45.82,814007169.944878,C
APGE,0.066585,0.000978,70.0,4990792936.946793,B
API,0.098824,0.000692,4.67,393746513.843536,C
APLD,-0.216379,0.007551,27.27,7028787419.574356,B
APLM,-0.071658,0.001854,20.21,42995559.735329,D
APLS,-0.08191,0.0005,20.96,2565546234.619408,B
APM,-0.082353,0.002387,0.78,6515005.697081,D
APOG,0.057355,0.000283,39.82,758260317.75,C
APP,-0.099855,0.007275,434.77,169700728650.51266,A
APPF,-0.088691,0.001225,177.76,6880194469.860474,B
APPN,-0.005593,0.001728,26.67,1968672179.565191,B
APPS,-0.194444,0.001821,4.06,491589713.865451,C
APRE,0.221039,0.006616,0.917,10306005.926984,D
APVO,-0.029178,0.003593,7.32,9994156.948925,D
APWC,0.012121,0.000104,1.67,35199303.292227,D
APXT,-0.001003,4e-06,9.96,457761601.753235,C
APYX,-0.256818,0.001318,3.27,128012415.944532,D
AQB,0.039657,0.003567,0.97,3594624.138378,D
AQMS,0.012397,0.002797,4.9,14220433.653138,D
AQST,-0.02439,0.001033,4.0,514853111.262728,C
ARAI,-0.352941,0.006086,1.1,37527557.6476,D
ARAY,-0.275,0.004434,0.58,58203489.832799,D
ARBB,-0.201377,0.000845,4.64,8332007.949635,D
ARBE,-0.32623,0.003646,0.822,95482223.857733,D
ARBK,-0.237333,0.004065,2.86,974222.985455,D
ARCB,0.03031,0.001005,102.66,2099828104.680725,B
ARCC,-0.046107,0.000395,18.62,13455747950.957611,A
ARCT,0.116689,0.001151,8.23,202025527.483716,C
ARDX,-0.159178,0.002956,6.55,1518081587.16317,B
AREB,-0.916327,0.026947,0.164,2106759.317605,D
AREC,0.023891,0.005406,3.0,323693175.114256,C
ARGX,-0.08228,0.000437,766.92,44419908071.38733,A
ARHS,-0.222432,0.002683,8.25,1078174505.958138,B
ARKO,0.148214,0.001507,6.43,680963741.379221,C
ARKR,0.056402,0.000543,6.93,24918551.229744,D
ARLP,0.099795,0.000222,26.49,3410744870.467663,B
ARM,0.191901,0.001161,127.45,121471393405.35382,A
AROW,-0.029892,0.000272,33.31,550096702.4468,C
ARQ,-0.027701,0.00135,3.51,137047369.268642,D
ARQQ,-0.183937,0.003713,16.46,241195144.801716,C
ARQT,0.054752,0.001393,26.97,2976801168.0,B
ARRY,-0.319569,0.008185,7.58,1040901626.773911,B
ARTL,-0.269939,0.004717,1.19,2422240.049605,D
ARTNA,0.033642,0.000244,33.88,348691122.21777,C
ARTV,0.392344,0.001774,5.82,140887743.342117,D
ARTW,-0.160142,0.002255,2.36,11648439.0,D
ARVN,-0.040492,0.001497,13.27,873450422.899624,C
ARWR,-0.133288,0.000533,63.27,8376725563.065567,A
ASBP,-0.182353,0.004675,1.39,5828004.552301,D
ASLE,0.030383,0.00022,7.8,304815172.859965,C
ASMB,0.131589,0.002436,29.84,447150555.040512,C
ASML,0.007689,0.000556,1450.5601,507629165847.9873,A
