N,method,seed,HV,IGD,ND_size
1768,RANDOM,14,4.528057044337402,1.4800487,34
1768,RANDOM,15,4.499109905642399,1.4739016,40
1768,RANDOM,16,4.591954753215305,1.4570389,33
1768,RANDOM,17,4.448541455276427,1.4748386,36
1768,RANDOM,18,4.5315179180579435,1.462741,38
1768,RANDOM,19,4.513693138062081,1.4623439,29
1768,RANDOM,20,4.578719544983983,1.4667248,34
1768,RANDOM,21,4.696624351728197,1.4610105,40
1768,RANDOM,22,5.109652779489352,1.4362724,40
1768,RANDOM,23,4.702578962884672,1.4462684,32
1768,RANDOM,24,4.712523112317285,1.4535842,42
1768,RANDOM,25,4.510548086647759,1.4827701,36
1768,RANDOM,26,4.915654794989678,1.4547789,41
1768,RANDOM,27,4.963137159714819,1.4365845,41
1768,RANDOM,28,4.751955921823338,1.4583871,41
1768,RANDOM,29,5.143828121526894,1.422117,40
2653,NSGA2,0,38.050169660393294,0.08167361,297
2653,NSGA2,1,35.96214162948536,0.12079942,296
2653,NSGA2,2,39.32792208144633,0.060664315,299
2653,NSGA2,3,39.65577203966234,0.055450436,300
2653,NSGA2,4,38.65217913104317,0.053853977,294
2653,NSGA2,5,38.16841758032456,0.044737216,295
2653,NSGA2,6,37.30339990005632,0.08817842,291
2653,NSGA2,7,38.62431462458653,0.08471644,299
2653,NSGA2,8,38.80194765441229,0.06536191,297
2653,NSGA2,9,37.98623533667387,0.08259716,296
2653,NSGA2,10,37.78938028851553,0.096584134,298
2653,NSGA2,11,37.34050763238858,0.07829642,300
2653,NSGA2,12,36.09240103211732,0.10392086,299
2653,NSGA2,13,39.47884718421392,0.040890902,298
2653,NSGA2,14,40.8707109186189,0.039689805,300
2653,NSGA2,15,38.13565184623258,0.07834816,299
2653,NSGA2,16,38.863410436859,0.055353053,299
2653,NSGA2,17,40.723148030098855,0.060081337,264
2653,NSGA2,18,34.661850482079444,0.13970518,300
2653,NSGA2,19,38.909226222716825,0.050515283,299
2653,NSGA2,20,38.45001923716882,0.11522846,300
2653,NSGA2,21,36.3705225811882,0.1076803,296
2653,NSGA2,22,40.00906915373753,0.03963344,290
2653,NSGA2,23,36.28009899472681,0.12831295,298
2653,NSGA2,24,37.552703902530084,0.08469514,298
2653,NSGA2,25,40.174096110968094,0.075681485,298
2653,NSGA2,26,37.589456153740684,0.071036264,298
2653,NSGA2,27,37.685054237458644,0.08745034,297
2653,NSGA2,28,37.840417456250805,0.12848788,293
2653,NSGA2,29,37.570893504034984,0.08199959,266
2653,RANDOM,0,6.0237287599148885,1.7104437,39
2653,RANDOM,1,5.722544529036213,1.7297949,36
2653,RANDOM,2,5.692050736509373,1.7498963,37
2653,RANDOM,3,5.897229480020542,1.733212,24
2653,RANDOM,4,5.885387621296104,1.7467273,30
2653,RANDOM,5,5.923691012649215,1.7312596,37
2653,RANDOM,6,5.970730736235282,1.7271917,33
2653,RANDOM,7,6.019853200043144,1.7144729,32
2653,RANDOM,8,6.312642157798109,1.698314,22
2653,RANDOM,9,6.15568999702009,1.7075325,36
2653,RANDOM,10,5.927973296984419,1.7351599,35
2653,RANDOM,11,5.817340692709877,1.7305353,30
2653,RANDOM,12,5.664963539654536,1.758526,38
2653,RANDOM,13,5.636932112847717,1.7542616,28
2653,RANDOM,14,5.525086415294254,1.7513728,33
2653,RANDOM,15,5.965952956608817,1.7348487,33
2653,RANDOM,16,5.779273644800924,1.7359672,35
2653,RANDOM,17,5.778647553275732,1.7264735,33
2653,RANDOM,18,5.875918326230931,1.7273353,40
2653,RANDOM,19,5.755658011055857,1.7463953,31
2653,RANDOM,20,5.887113977837089,1.7435753,39
2653,RANDOM,21,5.488657087181309,1.7488443,30
2653,RANDOM,22,6.051931994155893,1.7235005,33
2653,RANDOM,23,5.525139960100205,1.7505107,36
2653,RANDOM,24,6.282381154485847,1.7131553,40
2653,RANDOM,25,5.915676159623217,1.7312618,38
2653,RANDOM,26,5.959409113551374,1.7359018,36
2653,RANDOM,27,5.8726771863598515,1.7441745,33
2653,RANDOM,28,5.5118062425372045,1.7549773,44
2653,RANDOM,29,6.358998464533215,1.7181516,36
