file_name,method,N,seed,total_points,left_points,right_points,max_gap,median_gap,gap_ratio,did_split
all_2obj_NSGA2_N884_seed23,NSGA2,884,23,60000,60000,0,3.3065409999999997,0.0,0.0,False
all_2obj_RANDOM_N884_seed23,RANDOM,884,23,60000,57928,2072,5.059309,2.000000000002e-06,2529654.49999747,True
all_2obj_NSGA2_N884_seed24,NSGA2,884,24,60000,60000,0,3.3365089999999995,0.0,0.0,False
all_2obj_RANDOM_N884_seed24,RANDOM,884,24,60000,57955,2045,5.044147,2.000000000002e-06,2522073.4999974775,True
all_2obj_NSGA2_N884_seed25,NSGA2,884,25,60000,60000,0,3.2622800000000005,0.0,0.0,False
all_2obj_RANDOM_N884_seed25,RANDOM,884,25,60000,58000,2000,5.001531,2.000000000002e-06,2500765.499997499,True
all_2obj_NSGA2_N884_seed26,NSGA2,884,26,60000,60000,0,3.292300000000001,0.0,0.0,False
all_2obj_RANDOM_N884_seed26,RANDOM,884,26,60000,57982,2018,5.047217000000001,2.000000000002e-06,2523608.4999974766,True
all_2obj_NSGA2_N884_seed27,NSGA2,884,27,60000,60000,0,3.2905010000000003,0.0,0.0,False
all_2obj_RANDOM_N884_seed27,RANDOM,884,27,60000,57944,2056,5.0222489999999995,2.000000000002e-06,2511124.499997488,True
all_2obj_NSGA2_N884_seed28,NSGA2,884,28,60000,60000,0,3.4027240000000005,0.0,0.0,False
all_2obj_RANDOM_N884_seed28,RANDOM,884,28,60000,57981,2019,5.052034000000001,2.000000000002e-06,2526016.9999974743,True
all_2obj_NSGA2_N884_seed29,NSGA2,884,29,60000,60000,0,3.193474,0.0,0.0,False
all_2obj_RANDOM_N884_seed29,RANDOM,884,29,60000,57917,2083,5.01873,2.000000000002e-06,2509364.99999749,True
all_2obj_NSGA2_N1768_seed0,NSGA2,1768,0,60000,60000,0,2.5063140000000006,0.0,0.0,False
all_2obj_RANDOM_N1768_seed0,RANDOM,1768,0,60000,59009,991,4.771453999999999,2.000000000002e-06,2385726.999997614,True
all_2obj_NSGA2_N1768_seed1,NSGA2,1768,1,60000,60000,0,2.708631000000001,0.0,0.0,False
all_2obj_RANDOM_N1768_seed1,RANDOM,1768,1,60000,59016,984,4.7291490000000005,2.000000000002e-06,2364574.4999976354,True
